年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,27,46.5,35.8,81.6,8.4,36.2,109.4,44.6,25.4,6.8,5.3,14.0,19.7
2020 赛季,72,49.4,39.2,80.4,8.9,35.5,118.6,44.4,26.8,6.7,5.3,13.5,19.0
2019 赛季,72,44.8,34.3,74.5,10.6,37.3,111.8,47.9,24.5,6.4,4.5,15.3,21.0
2018 赛季,82,44.9,35.3,74.5,11.0,35.6,112.2,46.6,23.8,6.6,4.1,15.1,21.5
2017 赛季,82,44.1,35.6,77.2,9.7,34.8,106.6,44.4,23.7,6.2,4.8,15.2,20.6
2016 赛季,82,44.4,33.8,78.8,8.8,35.1,105.8,43.9,21.4,7.2,4.7,16.5,21.1
2015 赛季,82,45.3,35.2,75.7,10.5,31.9,98.6,42.4,22.3,7.6,4.0,14.8,18.0
2014 赛季,82,45.1,33.1,74.8,10.3,32.0,98.0,42.4,20.9,7.0,4.2,13.8,19.3
2013 赛季,82,45.9,36.9,75.3,8.8,29.4,98.5,38.2,20.9,8.6,3.8,14.5,21.7
2012 赛季,82,45.0,35.7,73.1,12.8,30.0,96.9,42.8,20.3,7.3,4.8,14.7,18.3
2011 赛季,66,42.5,34.2,77.7,11.9,28.5,93.1,40.3,19.9,7.5,3.9,15.1,19.2
2010 赛季,82,44.0,0.0,75.9,11.1,29.8,94.2,40.8,21.0,5.6,,14.1,
2009 赛季,82,42.9,0.0,78.0,10.9,28.8,92.4,39.7,18.8,7.0,,14.4,
2008 赛季,82,44.8,0.0,77.9,10.4,29.5,98.1,39.8,20.0,6.8,,13.1,
2007 赛季,82,44.3,0.0,73.6,11.1,30.7,95.8,41.9,23.5,6.4,,15.0,
2006 赛季,82,45.7,0.0,72.7,10.0,30.8,97.6,40.8,23.9,6.1,,14.8,
2005 赛季,82,44.0,0.0,75.8,10.0,31.0,93.8,41.0,23.0,6.8,,13.7,
2004 赛季,82,42.9,0.0,76.3,10.4,29.1,91.4,39.5,21.6,7.9,,14.2,
2003 赛季,82,44.1,0.0,75.3,10.5,30.2,90.3,40.7,24.5,8.7,,14.0,
2002 赛季,82,44.1,0.0,75.7,12.1,30.8,95.4,42.9,23.0,8.7,,14.8,
2001 赛季,82,44.6,0.0,73.5,12.7,30.7,96.2,43.3,24.3,8.7,,14.5,
2000 赛季,82,42.5,0.0,75.9,11.1,28.5,92.1,39.6,19.5,7.9,,14.7,
1999 赛季,82,43.3,0.0,78.4,12.7,28.2,98.0,40.9,20.6,8.8,,13.7,
1998 赛季,50,40.6,0.0,76.9,14.3,28.7,91.4,43.0,18.5,9.8,,15.0,
1997 赛季,82,44.1,0.0,74.4,16.4,26.1,99.6,42.5,20.5,9.5,,14.4,
1996 赛季,82,42.2,0.0,74.0,17.2,29.0,97.2,46.2,21.0,8.3,,15.7,
