年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,26,46.4,34.6,76.1,8.6,33.4,105.5,42.0,25.2,7.5,4.0,13.3,18.8
2020 赛季,72,48.5,37.7,80.3,10.5,33.9,115.1,44.4,26.8,8.1,4.5,13.5,19.1
2019 赛季,73,47.3,35.9,77.7,10.8,33.4,111.3,44.1,26.7,8.0,4.6,13.8,20.3
2018 赛季,82,46.6,35.1,75.5,11.9,34.5,110.7,46.4,27.4,7.7,4.4,13.4,20.0
2017 赛季,82,47.0,37.1,76.7,11.0,33.5,110.0,44.5,25.1,7.7,4.9,15.0,18.7
2016 赛季,82,46.9,36.8,77.4,11.8,34.6,111.7,46.4,25.3,6.9,3.9,15.0,19.1
2015 赛季,82,44.2,33.8,76.6,11.5,33.1,101.9,44.6,22.7,7.4,4.8,14.7,21.0
2014 赛季,82,43.3,32.5,73.4,12.3,32.4,101.5,44.7,21.8,7.8,4.5,14.2,23.0
2013 赛季,82,44.7,35.8,72.6,12.3,33.1,104.4,45.4,22.4,7.5,5.6,15.9,23.0
2012 赛季,82,47.8,34.3,70.1,13.3,31.7,106.1,45.0,24.4,9.3,6.5,15.3,20.5
2011 赛季,66,47.6,33.2,73.5,11.2,31.9,104.1,43.1,24.0,8.2,5.0,15.4,19.7
2010 赛季,82,47.6,0.0,76.5,9.7,32.3,107.5,42.0,22.1,7.4,,14.1,
2009 赛季,82,46.8,0.0,77.2,10.8,30.6,106.5,41.4,21.0,8.3,,13.9,
2008 赛季,82,47.0,0.0,76.0,11.0,30.6,104.3,41.6,22.2,8.7,,15.3,
2007 赛季,82,47.0,0.0,75.1,11.2,32.9,110.7,44.1,24.7,9.2,,14.7,
2006 赛季,82,46.5,0.0,74.6,12.2,31.2,105.4,43.4,23.4,8.3,,16.5,
2005 赛季,82,46.1,0.0,74.4,11.0,30.3,100.3,41.3,23.4,8.5,,14.8,
2004 赛季,82,45.9,0.0,76.3,11.8,30.2,99.5,42.0,23.9,9.2,,14.9,
2003 赛季,82,44.3,0.0,76.7,13.2,29.1,97.2,42.3,21.9,9.1,,15.6,
2002 赛季,82,41.1,0.0,69.9,13.6,28.8,84.2,42.4,21.2,8.7,,18.5,
2001 赛季,82,42.4,0.0,74.4,13.6,28.2,92.2,41.8,22.2,7.5,,14.7,
2000 赛季,82,43.3,0.0,73.7,12.7,31.5,96.6,44.2,24.0,6.7,,13.9,
1999 赛季,82,44.2,0.0,72.4,13.1,31.6,99.0,44.7,23.3,6.8,,15.6,
1998 赛季,50,42.1,0.0,76.2,12.9,27.8,93.5,40.8,19.4,7.5,,14.8,
1997 赛季,82,41.7,0.0,77.2,12.7,26.3,89.0,39.0,18.9,8.1,,16.0,
1996 赛季,82,43.9,0.0,76.1,12.1,29.9,97.8,42.0,23.0,6.1,,16.6,
