年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,28,46.1,33.0,78.1,10.3,35.1,108.1,45.4,24.0,7.1,6.0,14.3,20.3
2020 赛季,72,47.4,36.4,79.2,9.0,33.7,115.3,42.7,27.4,8.5,6.4,13.5,20.2
2019 赛季,73,47.6,36.3,78.7,8.7,34.1,109.4,42.8,25.9,7.4,5.2,13.2,19.8
2018 赛季,82,47.5,37.4,75.2,9.3,33.7,108.0,43.0,26.0,8.7,4.9,13.7,19.4
2017 赛季,82,47.2,36.9,77.9,9.6,32.7,105.6,42.3,22.2,8.8,4.2,13.3,18.8
2016 赛季,82,46.5,37.6,81.0,9.0,33.0,105.1,42.0,22.5,8.2,5.0,13.8,19.5
2015 赛季,82,45.0,35.1,76.4,10.3,33.9,102.2,44.2,21.2,9.0,4.8,14.9,20.0
2014 赛季,82,43.9,35.2,75.6,10.4,34.4,97.3,44.9,21.4,6.2,4.6,14.0,21.2
2013 赛季,82,44.9,35.7,77.9,10.2,34.5,96.7,44.7,20.1,6.7,5.4,15.1,20.4
2012 赛季,81,43.6,34.7,74.6,12.9,33.0,94.7,45.9,20.3,7.2,6.3,15.2,20.0
2011 赛季,66,43.8,36.8,78.2,12.5,31.4,97.7,43.9,18.6,7.9,5.4,14.0,21.7
2010 赛季,82,44.2,0.0,78.2,11.2,32.4,99.8,43.6,19.6,7.1,,15.4,
2009 赛季,82,44.3,0.0,77.5,9.6,31.9,100.8,41.5,21.1,7.1,,15.0,
2008 赛季,82,45.5,0.0,80.7,11.3,32.5,105.1,43.7,21.6,7.0,,14.5,
2007 赛季,82,44.4,0.0,76.8,11.0,32.1,104.0,43.1,22.7,7.6,,15.1,
2006 赛季,82,43.8,0.0,76.0,12.1,29.8,95.6,41.8,20.5,7.3,,16.3,
2005 赛季,82,44.4,0.0,73.7,11.0,31.2,93.9,42.2,19.9,7.3,,15.3,
2004 赛季,82,43.2,0.0,79.2,10.6,29.5,93.0,40.1,18.2,7.5,,14.3,
2003 赛季,82,43.5,0.0,76.4,11.8,29.9,91.4,41.7,21.6,8.9,,14.4,
2002 赛季,82,44.1,0.0,76.6,12.2,32.0,96.8,44.2,23.3,8.5,,14.8,
2001 赛季,82,44.6,0.0,77.2,11.3,31.3,96.8,42.7,23.0,8.0,,15.2,
2000 赛季,82,44.0,0.0,76.6,11.2,31.6,92.6,42.9,21.5,6.9,,15.2,
1999 赛季,82,45.9,0.0,81.1,10.3,31.9,101.3,42.1,22.6,6.8,,14.1,
1998 赛季,50,44.8,0.0,79.6,11.5,29.0,94.7,40.5,20.1,6.3,,13.0,
1997 赛季,82,46.9,0.0,76.4,10.7,28.6,96.0,39.3,23.0,7.9,,14.2,
1996 赛季,82,45.6,0.0,72.2,12.5,29.1,95.4,41.7,21.3,7.1,,16.3,
