年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,29,43.2,33.7,80.6,12.3,34.0,103.7,46.3,24.3,7.6,4.1,15.1,20.0
2020 赛季,72,47.7,34.8,72.9,11.7,35.7,114.6,47.4,26.0,7.6,4.4,14.6,18.0
2019 赛季,72,46.5,37.0,72.9,11.1,35.4,115.8,46.5,26.8,7.5,5.0,16.4,21.2
2018 赛季,82,47.3,34.4,76.1,11.1,36.2,115.4,47.3,27.0,7.4,5.4,14.8,21.1
2017 赛季,82,48.3,36.2,77.2,8.7,35.6,111.7,44.3,26.8,8.0,5.9,14.9,19.2
2016 赛季,82,45.0,35.0,75.0,8.6,35.1,104.3,43.7,22.8,7.8,5.5,12.9,18.2
2015 赛季,82,44.8,36.0,77.6,9.5,33.1,102.7,42.6,22.2,7.7,4.2,13.4,20.9
2014 赛季,82,45.7,37.0,75.1,11.5,32.0,99.4,43.5,22.0,6.7,6.2,13.3,18.7
2013 赛季,82,45.9,37.3,76.9,11.4,30.3,99.7,41.7,21.3,7.9,6.4,13.8,22.6
2012 赛季,82,44.8,36.3,77.6,12.1,29.6,94.1,41.6,21.0,6.3,5.4,14.6,20.4
2011 赛季,66,45.1,33.3,75.7,11.0,30.2,89.6,41.1,20.7,7.4,4.8,15.5,20.1
2010 赛季,82,45.9,0.0,76.5,10.1,30.1,94.9,40.2,20.6,7.6,,13.0,
2009 赛季,82,46.4,0.0,77.8,10.4,29.9,100.2,40.3,22.3,7.6,,13.5,
2008 赛季,82,45.7,0.0,80.7,9.8,29.9,95.8,39.7,19.6,7.2,,12.6,
2007 赛季,82,46.6,0.0,76.9,11.4,30.4,100.9,41.8,21.8,7.8,,11.9,
2006 赛季,82,44.5,0.0,74.0,12.5,30.6,95.5,43.1,18.7,6.4,,14.5,
2005 赛季,82,44.0,0.0,75.8,11.2,29.0,92.8,40.2,18.5,7.5,,13.4,
2004 赛季,82,41.5,0.0,76.6,12.4,27.8,88.4,40.2,21.0,6.7,,14.8,
2003 赛季,82,42.0,0.0,75.1,13.3,29.5,91.8,42.8,20.9,8.6,,15.0,
2002 赛季,82,43.5,0.0,76.8,13.4,30.2,93.9,43.6,22.0,8.0,,14.8,
2001 赛季,82,44.0,0.0,74.5,12.9,30.5,93.9,43.5,21.5,8.0,,14.0,
2000 赛季,82,43.1,0.0,74.5,12.6,31.8,91.9,44.4,23.2,8.1,,14.4,
1999 赛季,82,44.9,0.0,75.8,10.8,32.1,98.4,42.9,24.7,8.9,,14.7,
1998 赛季,50,44.9,0.0,74.7,9.6,29.9,92.9,39.5,22.2,8.9,,15.9,
1997 赛季,82,46.8,0.0,75.1,12.0,28.5,96.6,40.6,23.7,8.4,,15.2,
1996 赛季,82,47.1,0.0,77.7,11.1,28.0,98.9,39.1,24.6,7.3,,14.7,
