年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,26,40.9,31.3,78.7,10.5,31.8,99.7,42.3,21.4,8.2,4.9,15.4,19.9
2020 赛季,72,45.2,35.1,75.9,9.6,33.1,106.6,42.7,24.2,7.4,5.2,14.9,20.5
2019 赛季,66,45.9,36.7,74.3,9.8,32.0,107.2,41.7,24.1,7.4,4.5,15.3,19.7
2018 赛季,82,44.0,34.8,74.7,11.4,33.6,107.0,45.0,22.5,6.9,4.0,13.8,22.1
2017 赛季,82,45.0,37.3,74.5,10.1,33.6,103.8,43.7,22.8,7.7,3.9,13.4,18.4
2016 赛季,82,44.9,33.0,71.9,11.1,34.6,101.3,45.7,21.1,7.0,3.8,11.9,17.9
2015 赛季,82,43.9,34.5,66.8,12.5,33.9,102.0,46.3,19.4,7.0,3.7,13.5,19.0
2014 赛季,82,43.2,34.4,70.3,12.8,32.1,98.5,44.9,21.6,7.6,4.7,13.4,19.0
2013 赛季,82,44.7,32.1,67.0,14.6,30.8,101.0,45.4,20.9,8.4,4.8,14.6,20.3
2012 赛季,82,44.9,35.6,69.9,12.1,30.0,94.9,42.1,21.2,7.0,4.9,15.1,19.8
2011 赛季,66,43.8,34.6,75.2,11.7,28.5,90.9,40.3,18.7,7.0,4.2,15.7,19.6
2010 赛季,82,46.0,0.0,73.7,11.4,27.3,97.0,38.6,21.1,7.3,,13.0,
2009 赛季,82,44.5,0.0,72.8,12.8,27.3,94.0,40.2,19.4,7.3,,13.4,
2008 赛季,82,45.4,0.0,75.1,11.6,29.9,94.2,41.4,20.6,6.0,,11.9,
2007 赛季,82,45.8,0.0,76.7,11.9,29.6,97.5,41.4,22.3,7.1,,11.7,
2006 赛季,82,45.4,0.0,77.4,11.6,29.0,96.0,40.5,21.6,7.1,,12.2,
2005 赛季,82,45.5,0.0,72.7,11.9,28.6,96.8,40.5,24.0,7.1,,11.4,
2004 赛季,82,44.4,0.0,73.9,12.8,30.6,93.3,43.4,21.8,7.0,,13.8,
2003 赛季,82,43.5,0.0,75.3,12.4,30.4,90.1,42.8,20.8,8.0,,14.2,
2002 赛季,82,43.0,0.0,77.1,10.8,29.8,91.4,40.6,19.8,6.8,,13.5,
2001 赛季,82,45.2,0.0,75.6,9.9,28.9,94.3,38.7,21.5,7.9,,14.6,
2000 赛季,82,42.4,0.0,72.1,13.5,32.0,95.6,45.5,19.9,7.5,,15.9,
1999 赛季,82,45.9,0.0,78.1,11.2,30.0,103.5,41.2,20.8,8.1,,15.7,
1998 赛季,50,44.7,0.0,74.0,12.1,28.2,90.4,40.3,20.2,8.9,,15.8,
1997 赛季,82,44.9,0.0,74.5,12.7,28.5,94.2,41.2,19.5,8.3,,14.6,
1996 赛季,82,46.4,0.0,74.5,10.5,28.0,94.2,38.4,19.0,7.7,,12.7,
