年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,26,43.2,34.2,77.1,13.2,31.4,104.3,44.7,21.0,9.1,4.7,12.7,19.7
2020 赛季,72,44.8,36.8,81.5,9.4,32.1,111.3,41.6,24.1,8.6,5.4,13.2,21.2
2019 赛季,72,45.8,37.4,79.6,9.5,35.9,112.8,45.4,25.2,8.8,5.0,14.8,21.7
2018 赛季,82,47.4,36.6,80.4,9.6,35.6,114.4,45.2,25.4,8.3,5.3,14.0,21.0
2017 赛季,82,47.2,35.8,79.4,9.8,34.2,111.7,44.0,24.3,7.6,6.1,13.4,21.7
2016 赛季,82,46.4,36.3,79.6,10.6,32.6,106.9,43.3,18.5,8.3,4.9,12.7,20.8
2015 赛季,82,45.1,37.0,77.7,10.2,33.2,102.7,43.4,18.7,7.8,5.5,13.1,19.6
2014 赛季,82,45.5,35.2,78.7,10.7,30.8,104.0,41.5,20.7,7.5,4.4,12.9,20.9
2013 赛季,82,44.5,37.2,78.2,11.4,31.1,101.3,42.5,21.2,7.0,4.2,14.1,23.0
2012 赛季,82,44.6,34.3,78.8,10.6,29.6,97.2,40.2,21.5,7.3,4.8,13.7,22.4
2011 赛季,66,44.0,34.0,77.0,10.6,31.4,90.7,42.0,20.9,6.5,4.9,15.2,23.2
2010 赛季,82,46.5,0.0,75.5,11.7,28.6,99.1,40.3,21.9,7.1,,14.7,
2009 赛季,82,48.2,0.0,76.4,9.8,30.6,104.1,40.4,22.0,5.7,,13.4,
2008 赛季,82,45.8,0.0,82.4,9.8,30.7,99.0,40.4,22.4,6.4,,13.4,
2007 赛季,82,46.8,0.0,81.2,9.6,30.4,100.2,40.1,23.8,7.0,,11.7,
2006 赛季,82,46.3,0.0,78.8,9.2,30.2,99.5,39.5,22.2,7.1,,13.5,
2005 赛季,82,45.4,0.0,79.1,10.5,27.9,101.1,38.5,19.4,6.5,,13.1,
2004 赛季,82,44.4,0.0,77.4,10.3,29.8,99.7,40.1,20.4,7.6,,13.3,
2003 赛季,82,41.8,0.0,75.0,10.1,29.5,85.4,39.6,19.2,7.4,,14.2,
2002 赛季,82,42.7,0.0,71.8,12.5,28.7,90.9,41.2,19.3,7.4,,14.4,
2001 赛季,82,43.4,0.0,73.9,13.6,28.5,91.4,42.1,21.7,8.4,,14.3,
2000 赛季,82,43.7,0.0,74.7,13.6,30.8,97.6,44.5,24.4,7.3,,13.2,
1999 赛季,82,43.3,0.0,76.5,13.4,29.9,97.2,43.3,23.7,8.1,,13.9,
1998 赛季,50,42.1,0.0,76.0,14.2,28.9,91.1,43.2,20.7,8.8,,16.0,
1997 赛季,82,43.5,0.0,71.8,14.5,26.2,94.9,40.7,21.3,9.4,,16.7,
1996 赛季,82,43.7,0.0,72.0,13.8,27.5,95.5,41.3,20.9,8.8,,16.4,
