年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,26,44.6,34.2,69.9,9.6,34.7,105.9,44.3,23.0,7.1,5.2,17.7,20.5
2020 赛季,72,44.4,33.9,74.0,9.3,33.3,108.8,42.6,23.6,7.6,5.0,14.7,19.5
2019 赛季,72,45.1,34.5,79.1,9.8,34.5,117.8,44.3,21.6,8.7,5.2,14.7,21.8
2018 赛季,82,44.9,35.6,79.1,10.2,31.9,113.9,42.1,21.2,8.5,4.9,13.3,22.0
2017 赛季,82,46.0,36.2,78.1,9.0,34.5,112.4,43.5,21.5,8.5,4.8,13.8,19.5
2016 赛季,82,46.2,35.7,76.6,10.9,33.5,115.3,44.4,25.2,8.2,4.3,15.1,19.9
2015 赛季,82,45.2,34.7,69.4,11.3,31.7,106.5,43.1,22.2,10.0,5.2,15.9,21.8
2014 赛季,82,44.4,34.8,71.5,11.7,32.0,103.9,43.7,22.2,9.5,5.0,16.7,22.0
2013 赛季,82,47.2,35.8,71.2,11.2,34.1,107.7,45.3,21.4,7.6,5.6,16.1,20.4
2012 赛季,82,46.1,36.6,75.4,11.1,32.3,106.0,43.4,23.2,8.3,4.4,16.4,20.3
2011 赛季,66,44.9,35.9,78.2,11.7,30.5,98.1,42.2,21.3,7.5,4.8,14.5,20.4
2010 赛季,82,45.4,0.0,80.1,11.7,31.1,105.9,42.8,23.8,7.1,,13.5,
2009 赛季,82,44.7,0.0,77.2,11.8,30.1,102.4,42.0,21.8,7.1,,14.5,
2008 赛季,82,45.3,0.0,80.5,10.5,32.5,98.4,43.0,20.3,6.7,,14.1,
2007 赛季,82,44.8,0.0,72.6,12.2,32.4,96.7,44.7,21.4,7.3,,13.7,
2006 赛季,82,44.5,0.0,75.3,10.7,32.6,97.0,43.3,20.8,7.1,,14.2,
2005 赛季,82,43.3,0.0,75.9,10.4,31.3,90.1,41.6,19.3,7.2,,14.6,
2004 赛季,82,44.3,0.0,78.1,10.7,31.7,95.1,42.4,21.1,6.9,,13.8,
2003 赛季,82,44.2,0.0,77.3,10.3,32.3,89.8,42.6,19.3,6.8,,16.7,
2002 赛季,82,44.0,0.0,76.8,12.5,31.3,93.8,43.8,18.4,7.2,,15.6,
2001 赛季,82,42.8,0.0,74.1,12.5,29.4,92.3,41.9,18.1,6.6,,14.1,
2000 赛季,82,45.3,0.0,75.8,11.2,30.8,97.2,42.0,19.7,7.2,,14.7,
1999 赛季,82,45.0,0.0,73.3,12.3,31.5,99.5,43.8,21.6,7.5,,17.4,
1998 赛季,50,46.2,0.0,72.9,10.7,30.8,94.2,41.5,21.2,7.7,,16.2,
1997 赛季,82,45.2,0.0,77.1,12.0,28.7,98.8,40.7,21.9,8.4,,15.8,
1996 赛季,82,46.8,0.0,75.5,11.3,31.3,100.6,42.6,24.5,8.4,,16.7,
