年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,27,45.8,35.3,81.7,8.5,33.8,106.5,42.3,22.4,7.9,5.9,12.6,19.0
2020 赛季,72,47.6,37.4,76.7,10.0,35.0,113.6,45.1,23.7,9.1,6.2,14.4,20.2
2019 赛季,73,46.8,36.8,75.5,10.5,35.0,110.7,45.4,25.8,8.0,5.3,14.2,20.9
2018 赛季,82,47.1,35.9,77.1,10.9,36.9,115.2,47.8,26.9,7.4,5.3,14.9,21.3
2017 赛季,82,47.2,36.9,75.2,10.9,36.5,109.8,47.4,27.1,8.3,5.1,16.5,22.1
2016 赛季,82,44.2,34.0,77.1,9.8,33.0,102.4,42.8,23.8,8.4,5.1,16.7,21.9
2015 赛季,82,43.1,33.9,69.4,9.5,31.8,97.4,41.2,21.5,8.3,6.0,16.4,21.7
2014 赛季,82,40.8,32.0,67.6,11.9,30.9,92.0,42.9,20.5,9.6,5.9,17.7,21.7
2013 赛季,82,43.5,31.2,71.0,11.6,31.2,99.5,42.7,21.8,9.3,4.0,16.9,22.5
2012 赛季,82,44.4,36.0,72.9,10.9,30.4,93.2,41.3,22.8,7.4,4.7,13.1,18.4
2011 赛季,66,44.8,36.2,74.2,10.7,32.5,93.6,43.2,22.0,8.0,5.2,11.2,17.5
2010 赛季,82,46.1,0.0,77.0,10.4,31.4,99.0,41.8,22.7,7.6,,13.0,
2009 赛季,82,46.0,0.0,75.6,11.5,29.5,97.7,41.0,21.0,8.1,,14.5,
2008 赛季,82,45.9,0.0,74.5,12.7,28.5,97.4,41.2,20.1,8.0,,14.1,
2007 赛季,82,46.0,0.0,70.6,13.0,28.9,96.6,41.9,20.4,8.7,,14.3,
2006 赛季,82,45.8,0.0,76.7,11.0,28.7,94.9,39.7,20.4,7.2,,15.3,
2005 赛季,82,45.8,0.0,76.0,10.7,29.6,99.4,40.2,20.2,7.9,,14.1,
2004 赛季,82,43.7,0.0,78.9,11.1,30.9,99.1,42.0,20.9,9.2,,15.5,
2003 赛季,82,42.8,0.0,75.3,11.5,29.4,88.0,40.8,20.0,8.0,,15.9,
2002 赛季,82,44.8,0.0,77.5,12.7,29.5,96.8,42.2,21.6,10.3,,14.8,
2001 赛季,82,43.6,0.0,77.9,13.3,30.9,91.0,44.2,20.0,8.6,,15.3,
2000 赛季,82,44.7,0.0,74.5,13.1,31.7,94.7,44.8,20.6,8.4,,15.8,
1999 赛季,82,44.2,0.0,70.8,14.0,30.1,94.8,44.1,22.2,9.7,,15.7,
1998 赛季,50,42.6,0.0,72.2,14.6,28.6,89.7,43.1,18.7,10.8,,16.4,
1997 赛季,82,44.3,0.0,73.7,13.7,28.0,93.3,41.7,21.1,8.9,,16.5,
1996 赛季,82,43.8,0.0,72.5,15.5,28.7,100.2,44.2,20.7,8.3,,17.5,
