年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,26,46.8,35.1,70.3,10.3,35.0,108.5,45.3,28.0,8.4,5.1,13.3,16.9
2020 赛季,72,46.2,35.0,79.2,9.3,34.6,111.1,43.9,24.4,7.0,5.1,11.4,18.0
2019 赛季,71,47.2,37.6,81.0,9.0,35.6,114.1,44.6,24.7,7.3,5.5,12.6,19.4
2018 赛季,82,47.8,39.2,81.9,9.2,35.5,111.7,44.7,24.5,6.1,4.7,12.1,18.1
2017 赛季,82,45.7,35.2,77.2,10.4,33.9,102.7,44.2,22.8,7.7,5.6,13.2,17.2
2016 赛季,82,46.9,39.1,79.7,10.0,33.9,105.3,43.9,23.8,8.0,5.9,13.4,18.3
2015 赛季,82,48.4,37.5,80.3,9.4,34.5,103.5,43.9,24.5,8.3,5.9,13.1,17.5
2014 赛季,82,46.8,36.7,78.0,9.8,33.8,103.2,43.6,24.4,8.0,5.4,14.0,19.1
2013 赛季,82,48.6,39.7,78.5,9.3,34.0,105.4,43.3,25.2,7.4,5.1,14.4,18.2
2012 赛季,82,48.1,37.6,79.1,8.1,33.2,103.0,41.3,25.1,8.5,5.4,14.7,17.4
2011 赛季,66,47.8,39.3,74.8,10.4,32.6,103.7,43.0,23.2,7.4,4.4,13.6,17.3
2010 赛季,82,47.5,0.0,76.7,10.1,31.7,103.7,41.9,22.4,7.3,,13.4,
2009 赛季,82,47.3,0.0,74.0,10.8,32.0,101.4,42.8,22.3,6.3,,13.6,
2008 赛季,82,46.6,0.0,76.1,8.9,32.2,97.0,41.1,21.2,5.8,,11.7,
2007 赛季,82,45.7,0.0,76.1,9.4,31.9,95.4,41.3,21.0,6.4,,12.6,
2006 赛季,82,47.4,0.0,75.1,9.3,31.4,98.5,40.7,22.1,7.2,,13.9,
2005 赛季,82,47.2,0.0,70.2,10.4,31.1,95.6,41.5,20.9,6.6,,13.7,
2004 赛季,82,45.3,0.0,72.4,12.0,30.4,96.2,42.4,21.6,7.5,,13.7,
2003 赛季,82,44.2,0.0,68.1,12.6,32.6,91.5,45.1,20.4,8.1,,14.7,
2002 赛季,82,46.2,0.0,72.5,11.5,31.2,95.8,42.6,20.0,7.7,,15.8,
2001 赛季,82,45.8,0.0,74.2,11.1,31.3,96.7,42.4,20.0,7.6,,14.4,
2000 赛季,82,46.1,0.0,71.5,11.0,33.1,96.2,44.1,21.7,6.9,,14.0,
1999 赛季,82,46.2,0.0,74.6,11.3,32.5,96.2,43.8,22.2,7.5,,15.0,
1998 赛季,50,45.6,0.0,69.8,12.3,31.7,92.8,44.0,22.0,8.4,,15.2,
1997 赛季,82,46.8,0.0,68.8,12.0,32.2,92.5,44.2,22.4,6.3,,16.1,
1996 赛季,82,44.2,0.0,71.9,13.4,26.0,90.5,39.4,20.3,7.9,,15.2,
