年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,25,47.7,36.9,78.0,9.2,36.2,111.4,45.4,26.1,8.8,4.2,13.7,18.9
2020 赛季,72,49.0,37.8,83.4,8.8,34.2,115.3,42.9,26.9,7.2,4.3,12.5,19.1
2019 赛季,73,46.8,35.8,83.4,9.8,33.8,113.6,43.5,27.2,7.7,4.0,14.8,22.0
2018 赛季,82,45.9,32.9,77.9,9.1,31.3,107.5,40.4,23.9,9.0,5.1,15.6,23.6
2017 赛季,82,44.2,33.4,74.1,10.3,33.9,103.9,44.1,21.3,6.9,4.5,15.7,22.0
2016 赛季,82,45.0,33.2,77.6,11.9,33.1,107.7,45.0,19.6,8.2,4.9,15.4,24.8
2015 赛季,82,43.5,34.8,75.1,11.5,33.3,100.9,44.8,20.7,7.7,3.8,17.2,22.7
2014 赛季,82,45.2,34.1,76.0,10.9,32.2,102.4,43.2,20.2,8.5,4.7,15.1,21.3
2013 赛季,82,46.3,37.2,75.8,11.3,31.7,105.2,43.0,19.1,8.4,4.6,15.3,21.9
2012 赛季,82,44.3,33.0,74.4,11.7,29.9,95.2,41.6,22.6,8.0,5.3,15.6,20.6
2011 赛季,66,45.8,34.3,75.7,10.9,30.8,98.4,41.7,22.5,6.5,5.5,14.1,18.7
2010 赛季,82,47.0,0.0,75.9,10.0,30.2,105.0,40.2,23.7,6.7,,14.3,
2009 赛季,82,49.2,0.0,77.0,11.1,31.9,110.2,43.0,23.3,5.8,,14.8,
2008 赛季,82,50.4,0.0,74.4,11.0,30.7,109.4,41.7,23.2,7.2,,15.7,
2007 赛季,82,50.0,0.0,78.3,8.8,32.7,110.1,41.5,26.7,6.5,,14.4,
2006 赛季,82,49.4,0.0,80.8,9.0,31.5,110.2,40.5,25.9,6.7,,14.5,
2005 赛季,82,47.9,0.0,80.6,9.5,32.3,108.4,41.8,26.6,6.7,,13.3,
2004 赛季,82,47.7,0.0,74.8,11.8,32.3,110.4,44.1,23.5,7.0,,13.7,
2003 赛季,82,44.3,0.0,74.6,11.3,29.3,94.2,40.6,19.3,9.0,,15.2,
2002 赛季,82,44.3,0.0,74.2,12.8,29.8,95.5,42.5,21.0,8.1,,14.7,
2001 赛季,82,44.7,0.0,76.7,13.1,29.6,95.1,42.7,22.4,8.2,,14.7,
2000 赛季,82,43.6,0.0,75.5,11.8,30.8,94.0,42.7,23.2,9.5,,15.2,
1999 赛季,82,45.7,0.0,75.9,12.5,31.2,98.9,43.7,25.6,9.1,,16.7,
1998 赛季,50,44.9,0.0,76.0,12.0,28.4,95.6,40.3,25.0,8.9,,13.6,
1997 赛季,82,46.8,0.0,74.9,12.1,29.9,99.6,42.0,25.9,9.2,,15.1,
1996 赛季,82,46.9,0.0,76.1,11.2,29.0,102.8,40.1,25.2,8.1,,14.4,
