年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,26,41.0,30.7,74.4,9.9,35.7,98.5,45.6,20.2,7.3,4.9,14.1,17.2
2020 赛季,72,44.1,33.9,72.5,9.9,35.7,105.0,45.6,22.1,7.0,4.4,16.1,18.1
2019 赛季,72,46.8,35.5,79.6,8.2,34.7,110.4,42.9,21.7,7.6,4.9,13.7,19.3
2018 赛季,82,45.4,34.8,71.3,12.6,35.5,114.5,48.1,23.4,9.3,5.2,14.0,22.4
2017 赛季,82,45.3,35.4,71.6,12.5,32.6,107.9,45.1,21.3,9.1,5.0,14.0,20.2
2016 赛季,82,45.2,32.7,74.5,12.2,34.4,106.6,46.6,21.0,7.9,5.0,15.0,20.9
2015 赛季,82,47.6,34.9,78.2,13.1,35.6,110.2,48.6,23.0,7.4,5.9,15.9,20.6
2014 赛季,82,44.7,33.9,75.4,12.8,34.7,104.0,47.5,20.5,7.3,5.5,14.7,22.3
2013 赛季,82,47.1,36.1,80.6,10.8,33.9,106.2,44.7,21.9,8.3,6.1,15.3,22.7
2012 赛季,82,48.1,37.7,82.8,10.4,33.2,105.7,43.7,21.4,8.3,7.6,15.3,20.2
2011 赛季,66,47.1,35.8,80.6,11.0,32.7,103.1,43.7,18.5,7.6,8.2,16.4,20.5
2010 赛季,82,46.4,0.0,82.3,11.0,31.8,104.8,42.8,20.4,8.0,,14.1,
2009 赛季,82,46.2,0.0,80.5,11.7,31.8,101.5,43.5,20.0,8.0,,15.0,
2008 赛季,82,44.7,0.0,78.6,12.2,30.5,97.0,42.6,20.3,7.4,,16.2,
2007 赛季,82,44.4,0.0,77.0,11.8,32.8,97.5,44.6,21.3,6.5,,16.0,
2006 赛季,82,46.0,0.0,79.1,11.3,28.3,99.1,39.6,20.7,7.7,,15.5,
2005 赛季,82,45.9,0.0,78.5,12.4,27.2,102.6,39.6,20.7,7.6,,14.7,
2004 赛季,82,44.4,0.0,79.0,12.7,28.2,98.9,40.9,18.1,6.7,,13.6,
2003 赛季,82,44.6,0.0,76.5,11.1,28.3,97.1,39.3,21.7,8.1,,14.5,
2002 赛季,82,43.7,0.0,74.4,11.7,29.1,92.1,40.8,21.6,8.3,,13.2,
2001 赛季,82,46.9,0.0,75.5,11.8,28.5,97.7,40.3,23.5,8.5,,13.7,
2000 赛季,82,45.6,0.0,73.2,12.2,29.5,97.3,41.7,21.9,8.0,,15.3,
1999 赛季,82,44.7,0.0,69.5,12.7,30.3,99.1,43.0,22.9,8.0,,14.1,
1998 赛季,50,44.2,0.0,68.1,13.5,28.4,94.9,42.0,21.7,7.9,,15.3,
1997 赛季,82,47.3,0.0,72.1,11.4,27.1,100.6,38.5,24.2,9.8,,14.0,
1996 赛季,82,46.7,0.0,75.2,12.3,27.7,100.9,40.0,23.5,11.0,,15.0,
