年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,27,42.5,33.5,77.3,13.1,32.1,108.1,45.3,23.0,8.8,5.7,15.8,22.6
2020 赛季,72,44.8,34.9,76.1,10.5,33.0,112.1,43.5,25.6,8.8,5.5,14.3,20.9
2019 赛季,64,44.1,33.6,75.3,10.5,34.3,113.3,44.8,23.8,8.7,5.7,15.3,21.4
2018 赛季,82,45.6,35.1,78.7,11.3,33.5,112.5,44.8,24.6,8.3,5.0,13.1,20.3
2017 赛季,82,47.6,35.7,80.4,10.3,31.6,109.5,42.0,22.7,8.4,4.2,12.5,18.2
2016 赛季,82,46.7,34.9,79.9,11.4,31.0,105.6,42.4,23.7,8.0,4.5,14.0,20.1
2015 赛季,82,46.4,33.8,79.2,10.0,31.5,102.4,41.6,23.4,8.0,4.6,15.0,20.7
2014 赛季,82,43.8,33.2,77.6,11.6,29.3,97.8,40.9,21.6,8.2,4.0,15.0,19.2
2013 赛季,82,44.4,34.1,77.8,12.5,32.2,106.9,44.7,23.9,8.8,3.6,13.9,18.3
2012 赛季,82,43.9,30.5,74.2,11.9,30.2,95.7,42.0,22.4,8.5,4.7,14.8,18.4
2011 赛季,66,43.3,33.2,77.1,12.1,31.7,97.9,43.7,19.5,6.6,4.4,15.2,18.4
2010 赛季,82,44.1,0.0,76.8,13.2,31.2,101.1,44.4,20.1,7.2,,17.1,
2009 赛季,82,44.9,0.0,74.6,11.7,31.2,98.2,42.9,19.8,7.3,,16.3,
2008 赛季,82,44.1,0.0,76.9,11.9,29.8,97.8,41.7,20.4,6.2,,14.2,
2007 赛季,82,45.1,0.0,73.6,11.8,29.6,95.6,41.4,19.9,7.5,,14.5,
2006 赛季,82,46.1,0.0,79.2,10.0,30.2,96.1,40.2,22.5,6.5,,15.6,
2005 赛季,82,45.6,0.0,75.8,9.9,29.5,91.7,39.4,20.9,6.8,,14.5,
2004 赛季,82,45.9,0.0,79.6,11.6,31.5,96.8,43.0,23.4,5.6,,13.2,
2003 赛季,82,46.2,0.0,78.1,10.7,32.3,94.5,42.9,23.0,6.8,,12.7,
2002 赛季,82,46.6,0.0,77.0,11.7,31.9,98.1,43.6,25.2,6.7,,13.7,
2001 赛季,82,46.1,0.0,79.8,12.9,31.2,99.3,44.2,24.3,6.4,,13.4,
2000 赛季,82,45.8,0.0,78.5,12.2,30.1,97.3,42.3,25.4,8.3,,13.9,
1999 赛季,82,46.7,0.0,78.0,12.4,30.1,98.5,42.5,26.9,7.6,,13.9,
1998 赛季,50,42.5,0.0,74.3,15.1,27.8,92.9,42.9,24.4,8.5,,12.8,
1997 赛季,82,46.1,0.0,74.3,13.0,29.6,101.1,42.6,25.2,7.8,,13.9,
1996 赛季,82,45.6,0.0,75.1,11.7,28.1,96.1,39.7,22.9,7.5,,15.2,
