年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,26,47.0,36.7,75.8,10.0,37.0,112.5,46.9,28.4,9.7,4.7,16.1,19.9
2020 赛季,72,46.8,37.6,78.5,8.0,35.1,113.7,43.0,27.7,8.2,4.8,15.0,21.2
2019 赛季,65,43.8,33.4,80.3,10.0,32.9,106.3,42.8,25.6,8.2,4.6,14.9,20.1
2018 赛季,82,49.1,38.5,80.1,9.7,36.5,117.7,46.2,29.4,7.6,6.4,14.3,21.4
2017 赛季,82,50.3,39.1,81.5,8.4,35.1,113.5,43.5,29.3,8.0,7.5,15.4,19.6
2016 赛季,82,49.5,38.3,78.8,9.4,35.0,115.9,44.4,30.4,9.6,6.8,14.8,19.3
2015 赛季,82,48.7,41.6,76.3,10.0,36.2,114.9,46.2,28.9,8.4,6.1,15.2,20.7
2014 赛季,82,47.8,39.8,76.8,10.4,34.3,110.0,44.7,27.4,9.3,6.1,14.5,19.9
2013 赛季,82,46.2,38.0,75.3,10.9,34.4,104.3,45.3,23.3,7.8,5.0,15.2,21.8
2012 赛季,82,45.8,40.3,79.0,10.8,34.2,101.2,45.0,22.5,6.9,4.2,15.1,21.4
2011 赛季,66,45.7,38.8,77.0,9.7,29.5,97.8,39.2,22.3,8.0,5.5,13.9,21.4
2010 赛季,82,46.1,0.0,76.1,11.7,28.9,103.4,40.6,22.5,9.0,,14.6,
2009 赛季,82,46.9,0.0,78.2,9.2,29.2,108.8,38.4,22.4,9.3,,14.7,
2008 赛季,82,45.8,0.0,79.1,11.6,30.4,108.6,42.0,20.9,7.8,,14.7,
2007 赛季,82,45.9,0.0,75.2,12.7,30.4,111.0,43.2,22.4,9.1,,13.2,
2006 赛季,82,46.3,0.0,71.7,11.5,29.9,106.5,41.4,23.8,9.2,,16.0,
2005 赛季,82,43.3,0.0,71.8,12.0,30.3,98.5,42.3,20.7,7.4,,14.1,
2004 赛季,82,43.0,0.0,72.2,13.0,29.7,98.7,42.7,22.1,7.8,,13.6,
2003 赛季,82,44.2,0.0,72.5,12.2,30.9,93.3,43.1,20.5,7.0,,14.8,
2002 赛季,82,44.1,0.0,77.8,15.7,31.0,102.4,46.7,20.9,7.2,,15.8,
2001 赛季,82,42.9,0.0,72.2,16.3,30.4,97.7,46.7,20.8,7.9,,16.8,
2000 赛季,82,40.9,0.0,70.6,16.4,29.1,92.5,45.5,21.8,9.1,,15.9,
1999 赛季,82,42.0,0.0,69.7,15.9,29.7,95.5,45.6,22.6,8.9,,15.9,
1998 赛季,50,41.5,0.0,67.6,16.3,31.2,88.3,47.5,20.7,8.3,,15.4,
1997 赛季,82,41.3,0.0,71.0,15.7,30.2,88.3,45.9,20.8,7.6,,16.7,
1996 赛季,82,45.6,0.0,77.8,13.2,27.5,99.6,40.8,22.2,7.5,,17.2,
