年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,27,46.2,32.7,77.8,9.1,35.8,105.7,45.0,23.5,6.2,5.3,13.9,18.6
2020 赛季,72,47.5,35.1,76.9,9.7,35.5,116.6,45.2,25.5,7.3,4.1,14.4,21.6
2019 赛季,72,45.7,36.8,78.8,10.2,31.9,114.4,42.0,25.0,8.0,4.3,14.2,22.7
2018 赛季,82,46.8,34.1,76.8,9.7,32.7,114.0,42.4,26.3,8.3,4.6,14.1,20.7
2017 赛季,82,46.7,37.5,77.2,10.0,33.1,106.6,43.1,25.2,7.9,4.3,14.6,21.3
2016 赛季,82,47.5,37.2,78.4,10.3,32.6,109.2,42.9,23.9,8.5,4.1,14.2,21.3
2015 赛季,82,46.0,35.8,73.0,9.1,32.8,104.1,41.8,24.5,8.6,3.9,14.5,20.8
2014 赛季,82,46.2,36.0,74.2,10.5,34.2,98.5,44.7,24.0,7.3,4.6,15.0,20.8
2013 赛季,82,45.9,38.0,73.1,10.8,31.4,100.7,42.2,23.3,8.2,4.6,14.7,20.4
2012 赛季,82,43.5,36.5,73.3,10.8,32.3,93.2,43.2,21.6,7.3,4.6,15.1,20.5
2011 赛季,66,44.1,32.0,72.7,11.7,29.9,93.6,41.7,19.1,8.0,6.3,15.3,21.3
2010 赛季,82,44.3,0.0,74.5,12.4,29.0,97.3,41.3,19.4,8.1,,15.3,
2009 赛季,82,44.9,0.0,76.2,11.8,30.0,96.2,41.8,19.0,6.0,,14.9,
2008 赛季,82,45.0,0.0,76.7,11.7,28.4,96.1,40.1,20.0,7.6,,14.0,
2007 赛季,82,44.6,0.0,78.2,12.3,29.3,98.8,41.6,19.6,7.7,,13.2,
2006 赛季,82,45.0,0.0,76.5,12.2,29.0,104.3,41.2,20.2,7.7,,13.8,
2005 赛季,82,44.7,0.0,75.7,12.6,28.6,101.7,41.2,18.6,8.0,,13.9,
2004 赛季,82,43.7,0.0,72.5,13.8,29.0,100.5,42.8,19.1,8.7,,14.3,
2003 赛季,82,42.1,0.0,71.4,13.6,29.2,91.8,42.8,18.7,8.9,,17.6,
2002 赛季,82,44.0,0.0,77.9,11.2,29.2,91.5,40.4,19.7,7.6,,13.4,
2001 赛季,82,44.1,0.0,76.5,12.9,29.2,92.8,42.0,20.9,7.0,,13.0,
2000 赛季,82,43.9,0.0,75.9,12.4,28.9,93.2,41.3,20.1,7.7,,17.0,
1999 赛季,82,45.1,0.0,74.3,13.0,29.7,96.6,42.7,21.6,7.2,,16.1,
1998 赛季,50,44.5,0.0,70.5,11.9,28.1,91.2,40.0,21.3,7.9,,14.7,
1997 赛季,82,45.2,0.0,69.1,13.7,28.5,97.2,42.2,23.2,8.4,,14.1,
1996 赛季,82,48.0,0.0,70.7,12.3,29.5,99.4,41.8,23.4,8.7,,15.7,
