年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,27,1070,2363,352,1012,431,554,272,919,2923,1191,625,208,127,373,521
2020 赛季,72,2973,6558,1132,2939,1282,1558,766,2441,8360,3207,1531,496,363,799,1362
2019 赛季,74,3122,6749,952,2525,1312,1632,754,2599,8508,3353,1525,465,451,946,1606
2018 赛季,82,3470,7427,904,2520,1558,1914,967,2968,9402,3935,1887,546,413,1135,1669
2017 赛季,82,3222,7132,845,2308,1372,1715,835,2893,8661,3728,1599,573,423,1109,1599
2016 赛季,82,3243,7059,852,2272,1513,1940,830,2750,8851,3580,1733,574,408,1126,1736
2015 赛季,82,3167,7040,864,2336,1424,1889,948,2782,8622,3730,1748,562,380,1200,1782
2014 赛季,82,3175,7049,807,2231,1272,1589,879,2881,8429,3760,1799,525,372,1117,1494
2013 赛季,82,3207,7134,770,2071,1569,1926,1022,2786,8753,3808,1904,454,387,1125,1576
2012 赛季,82,3009,6715,673,1904,1304,1680,874,2474,7995,3348,1784,538,353,1203,1518
2011 赛季,66,2402,5417,478,1382,1133,1423,735,1949,6415,2684,1349,528,322,935,1251
2010 赛季,82,2951,6599,,,1476,1835,996,2230,7896,3226,1736,660,358,1070,1585
2009 赛季,82,2974,6453,,,1606,2033,913,2383,8045,3296,1674,523,350,1012,1715
2008 赛季,82,3018,6494,,,1521,1988,1060,2360,8153,3420,1667,550,402,1055,1671
2007 赛季,82,2935,6546,,,1412,1841,901,2438,7820,3339,1733,455,360,1056,1642
2006 赛季,82,2874,6392,,,1543,2006,923,2299,7717,3222,1513,555,380,1236,1931
2005 赛季,82,2791,6267,,,1339,1944,886,2203,7285,3089,1490,529,435,1205,1828
2004 赛季,82,2896,6422,,,1409,1944,970,2404,7621,3374,1722,583,544,1308,1703
2003 赛季,82,2898,6467,,,1263,1728,1040,2376,7440,3416,1768,613,443,1213,1554
2002 赛季,82,2987,6491,,,1450,1947,992,2378,7803,3370,1860,725,316,1248,1634
2001 赛季,82,3004,6671,,,1451,1901,1085,2444,7925,3529,1926,702,368,1172,1613
2000 赛季,82,3004,6417,,,1447,1899,960,2481,7824,3441,1963,672,419,1257,1745
1999 赛季,82,3021,6430,,,1542,2029,966,2560,7991,3526,1925,633,396,1243,1865
1998 赛季,50,1747,3956,,,1002,1349,646,1570,4742,2216,1073,411,290,771,1126
1997 赛季,82,2885,6397,,,1640,2226,1086,2522,7734,3608,1766,585,464,1383,1859
1996 赛季,82,3000,6465,,,1613,2261,1058,2494,8114,3552,1710,640,435,1357,1928
