年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,28,1125,2479,402,1113,450,601,296,1039,3102,1335,640,212,126,408,494
2020 赛季,72,3221,6610,1038,2669,1169,1539,741,2724,8649,3465,1834,585,334,995,1244
2019 赛季,73,3160,6638,1007,2840,1336,1800,691,3083,8663,3774,1889,526,429,1102,1431
2018 赛季,82,3555,7471,1105,3134,1471,1904,762,3316,9686,4078,2136,615,486,1137,1608
2017 赛季,82,3257,6807,718,2024,1499,1915,688,2579,8731,3267,1905,722,443,1135,1752
2016 赛季,82,3182,6715,720,1946,1413,1839,723,2589,8497,3312,1984,666,436,1145,1660
2015 赛季,82,3145,6740,440,1277,1391,1859,858,2559,8121,3417,1895,672,475,1247,1695
2014 赛季,82,3083,6722,545,1500,1312,1734,876,2574,8023,3450,1932,789,403,1373,1814
2013 赛季,82,2952,6737,548,1553,1377,1843,971,2399,7829,3370,1760,541,403,1238,1713
2012 赛季,82,3128,7197,601,1670,1251,1700,1068,2537,8108,3605,1876,685,550,1156,1554
2011 赛季,66,2502,5652,436,1265,1095,1415,820,1983,6535,2803,1550,548,335,929,1273
2010 赛季,82,2814,6544,,,1423,1881,862,2480,7534,3342,1545,617,399,1103,1682
2009 赛季,82,3050,6998,,,1264,1675,965,2560,8009,3525,1740,580,385,1085,1823
2008 赛季,82,3009,6755,,,1613,2067,973,2367,8142,3340,1802,609,308,1154,1986
2007 赛季,82,3026,6745,,,1452,1980,1055,2363,7956,3418,1760,544,361,1210,1748
2006 赛季,82,3121,6714,,,1406,1919,941,2272,8172,3213,1771,587,224,1240,1821
2005 赛季,82,2976,6566,,,1561,2115,929,2448,8020,3377,1769,597,270,1197,1902
2004 赛季,82,2964,6580,,,1720,2229,985,2405,7973,3390,1720,529,289,1132,1797
2003 赛季,82,2970,6650,,,1698,2192,960,2502,8039,3462,1872,554,383,1110,1668
2002 赛季,82,3045,6670,,,1483,1911,876,2367,8158,3243,1823,622,344,1044,1820
2001 赛季,82,3041,6577,,,1321,1767,841,2557,7996,3398,1847,596,388,1157,1788
2000 赛季,82,3112,6798,,,1474,1874,975,2500,8260,3475,1844,672,386,1123,1928
1999 赛季,82,3174,6827,,,1558,1982,1016,2373,8300,3389,1852,671,381,1230,2020
1998 赛季,50,1753,3818,,,847,1155,570,1369,4584,1939,1030,442,202,719,1142
1997 赛季,82,2918,6399,,,1663,2167,1035,2236,7748,3271,1649,733,357,1383,1915
1996 赛季,82,2967,6303,,,1560,2104,955,2263,7818,3218,1610,632,348,1285,1892
