年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,27,1092,2349,297,806,442,543,243,923,2923,1166,628,210,126,364,498
2020 赛季,72,3035,6380,904,2446,995,1258,693,2544,7969,3237,1927,482,304,1089,1362
2019 赛季,65,2573,5762,793,2282,1006,1332,680,2041,6945,2721,1510,652,265,1005,1417
2018 赛季,82,3266,7205,745,2123,1328,1695,718,2799,8605,3517,1796,603,351,1159,1663
2017 赛季,82,3170,7285,906,2549,1194,1574,790,2872,8440,3662,1923,626,289,1147,1571
2016 赛季,82,3169,7141,623,1831,1474,1848,999,2797,8435,3796,1851,643,393,1112,1455
2015 赛季,82,3165,7170,651,1753,1354,1720,907,2889,8335,3796,1870,495,470,1141,1545
2014 赛季,82,3001,6797,645,1825,1618,2067,959,2792,8265,3751,1781,514,476,1145,1495
2013 赛季,82,2843,6577,508,1459,1486,1908,937,2683,7680,3620,1860,594,424,1223,1565
2012 赛季,82,2926,6698,446,1265,1343,1738,1026,2514,7641,3540,1886,588,417,1171,1617
2011 赛季,66,2467,5462,419,1117,1006,1394,915,2165,6359,3080,1527,456,388,923,1139
2010 赛季,82,3042,6587,,,1492,2008,967,2654,8087,3621,1827,592,468,1161,1639
2009 赛季,82,3081,6825,,,1479,1962,937,2715,7993,3652,1704,531,478,1175,1648
2008 赛季,82,3126,6846,,,1633,2052,970,2481,8378,3451,1732,615,453,1192,1709
2007 赛季,82,2987,6861,,,1533,2029,1050,2478,7981,3528,1811,635,429,1197,1784
2006 赛季,82,3046,6663,,,1528,2083,984,2597,8100,3581,1832,639,445,1310,1908
2005 赛季,82,3004,6737,,,1452,1967,906,2602,8020,3508,1804,508,345,1224,2038
2004 赛季,82,2849,6592,,,1536,2048,1001,2591,7745,3592,1743,576,369,1371,2028
2003 赛季,82,2798,6753,,,1330,1834,1048,2519,7355,3567,1793,659,396,1321,1911
2002 赛季,82,2991,6714,,,1455,2014,985,2541,7786,3526,1782,605,461,1388,2028
2001 赛季,82,2811,6491,,,1413,1958,924,2359,7335,3283,1817,633,361,1252,1834
2000 赛季,82,2721,6411,,,1410,1909,926,2260,7181,3186,1810,675,379,1292,1902
1999 赛季,82,2565,6180,,,1482,2089,1032,2323,6952,3355,1645,646,383,1557,1908
1998 赛季,50,1539,3837,,,840,1185,573,1394,4095,1967,1017,436,169,774,1112
1997 赛季,82,3064,6801,,,1492,2009,1243,2438,7931,3681,1952,696,353,1178,1691
1996 赛季,82,3277,6923,,,1381,1848,1235,2461,8458,3696,2142,716,332,1109,1617
