年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,28,1094,2386,337,954,444,563,279,984,2969,1263,698,214,128,442,474
2020 赛季,72,2778,6175,720,2141,1200,1614,751,2327,7476,3078,1716,559,325,1114,1308
2019 赛季,65,2619,5715,727,2070,983,1296,704,2172,6948,2876,1500,447,211,1073,1188
2018 赛季,82,3189,7184,847,2388,1342,1694,879,2619,8567,3498,1698,534,195,1106,1642
2017 赛季,82,3311,6950,981,2636,1488,1909,694,2761,9091,3455,1916,582,312,1126,1524
2016 赛季,82,3275,6963,1067,2779,1431,1913,766,2821,9048,3587,1858,539,327,1121,1486
2015 赛季,82,3171,6888,880,2428,1333,1783,873,2777,8555,3650,1861,551,317,1114,1666
2014 赛季,82,3089,6739,826,2253,1453,1934,911,2612,8457,3523,1814,603,340,1171,1510
2013 赛季,82,3036,6955,584,1640,1398,1861,989,2629,8054,3618,1738,579,304,1163,1640
2012 赛季,82,2993,6901,547,1581,1380,1826,1004,2359,7913,3363,1694,647,334,1149,1737
2011 赛季,66,2261,5360,440,1273,1178,1645,841,1949,6140,2790,1308,466,262,1017,1317
2010 赛季,82,2886,6647,,,1546,2075,856,2449,7827,3305,1720,544,341,1166,1648
2009 赛季,82,3101,6391,,,1569,2180,791,2692,8373,3483,1835,564,425,1137,1591
2008 赛季,82,3022,6454,,,1523,2012,886,2574,8223,3460,1663,593,435,1045,1663
2007 赛季,82,2937,6697,,,1477,2061,1092,2563,7903,3655,1640,579,427,1145,1712
2006 赛季,82,2978,6658,,,1484,2133,1039,2529,7934,3568,1708,625,353,1177,1781
2005 赛季,82,2908,6412,,,1689,2318,959,2511,8002,3470,1560,567,392,1137,1733
2004 赛季,82,2990,6687,,,1634,2174,1117,2352,7914,3469,1851,654,461,1141,1850
2003 赛季,82,2922,6753,,,1528,2030,1118,2619,7619,3737,1808,585,537,1216,1743
2002 赛季,82,2850,6746,,,1502,2012,1118,2542,7495,3660,1712,636,521,1501,1864
2001 赛季,82,2948,6582,,,1529,1980,968,2483,7812,3451,1891,572,470,1196,1752
2000 赛季,82,2890,6532,,,1561,2040,1015,2440,7561,3455,1708,642,436,1350,1904
1999 赛季,82,2977,6734,,,1653,2205,1010,2499,7950,3509,1941,715,363,1427,2219
1998 赛季,50,1562,3561,,,1016,1356,472,1316,4322,1788,1093,452,203,785,1208
1997 赛季,82,2817,6207,,,1653,2187,955,2331,7585,3286,1894,814,419,1421,1939
1996 赛季,82,2704,5972,,,1282,1773,909,2159,7173,3068,1714,655,315,1188,1882
