年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,27,1059,2398,320,963,478,586,284,958,2916,1242,610,203,149,375,510
2020 赛季,72,2985,6401,979,2618,1160,1496,765,2421,8109,3186,1689,556,383,1012,1471
2019 赛季,72,2971,6448,905,2487,1336,1668,768,2549,8183,3317,1655,595,406,995,1553
2018 赛季,82,3451,7423,1032,2829,1282,1598,804,2849,9216,3653,2155,706,435,1052,1669
2017 赛季,82,3141,6975,939,2492,1308,1697,767,2878,8529,3645,1842,604,373,1148,1618
2016 赛季,82,3168,6977,985,2741,1536,1903,743,2698,8857,3441,2069,617,340,1088,1686
2015 赛季,82,3216,7318,717,2142,1520,1929,950,2733,8669,3683,1981,752,348,1127,1796
2014 赛季,82,3193,7211,660,2021,1266,1678,910,2685,8312,3595,2009,674,294,1133,1738
2013 赛季,82,2996,6883,575,1729,1325,1706,980,2505,7892,3485,1726,584,343,1261,1743
2012 赛季,81,3001,6459,498,1390,1318,1698,654,2533,7818,3187,1843,667,365,1181,1717
2011 赛季,66,2341,5086,363,988,1017,1308,509,2051,6062,2560,1557,498,362,979,1315
2010 赛季,82,3023,6219,,,1459,1895,639,2542,7913,3181,1921,676,344,1195,1678
2009 赛季,82,3039,6294,,,1559,2090,716,2449,8136,3165,1930,701,402,1219,1816
2008 赛季,82,3075,6333,,,1587,2075,869,2586,8275,3455,1862,621,387,1280,1897
2007 赛季,82,2986,6286,,,1677,2176,830,2615,8245,3445,1833,696,379,1246,1864
2006 赛季,82,2858,6454,,,1670,2178,918,2391,7857,3309,1630,589,382,1350,1971
2005 赛季,82,2951,6322,,,1664,2204,813,2432,8033,3245,1716,578,422,1359,2033
2004 赛季,82,3046,6511,,,1775,2323,909,2438,8304,3347,1810,667,423,1297,2000
2003 赛季,82,2843,6415,,,1572,2095,851,2440,7811,3291,1683,770,331,1332,1837
2002 赛季,82,2700,6509,,,1480,1994,849,2471,7599,3320,1575,720,303,1147,1758
2001 赛季,82,2852,6731,,,1498,1960,891,2570,7901,3461,1722,793,292,1114,1776
2000 赛季,82,2773,6485,,,1621,2190,897,2367,7759,3264,1708,769,336,1285,1952
1999 赛季,82,3054,6880,,,1621,2175,1108,2420,8146,3528,1741,795,286,1259,2223
1998 赛季,50,1816,4164,,,745,1077,680,1458,4650,2138,1073,453,255,807,1193
1997 赛季,82,3012,6934,,,1425,1964,1196,2044,7864,3240,1816,987,366,1330,2203
1996 赛季,82,3066,6967,,,1649,2199,1095,2188,8248,3283,1792,810,315,1342,1915
