年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,27,1059,2369,353,981,392,492,245,948,2863,1193,618,217,118,402,487
2020 赛季,72,3009,6242,1027,2498,1164,1387,678,2501,8209,3179,1756,509,295,949,1383
2019 赛季,72,2992,6425,895,2410,1498,1894,767,2664,8377,3431,1708,511,338,1051,1594
2018 赛季,82,3384,7178,821,2118,1853,2340,796,2936,9442,3732,1970,561,385,1193,1913
2017 赛季,82,3302,7004,777,2196,1556,2095,832,2766,8937,3598,1832,628,372,1204,1638
2016 赛季,82,3242,6820,841,2245,1586,2128,738,2790,8911,3528,1848,612,347,1062,1626
2015 赛季,82,3141,6759,797,2190,1490,2152,721,2727,8569,3448,1873,709,460,1063,1746
2014 赛季,82,3228,6830,827,2202,1468,2067,784,2711,8751,3495,2031,640,409,1012,1749
2013 赛季,82,3208,6761,693,1966,1741,2384,858,2668,8850,3526,2016,703,397,1136,1767
2012 赛季,82,3160,6608,627,1752,1342,1888,938,2475,8289,3413,1958,784,461,1197,1716
2011 赛季,66,2439,5366,514,1441,1046,1538,800,1943,6438,2743,1385,556,315,879,1399
2010 赛季,82,3015,6594,,,1546,2187,955,2501,8089,3456,1813,585,402,1343,1733
2009 赛季,82,3002,6601,,,1362,1867,927,2502,7849,3429,1810,532,466,1285,1581
2008 赛季,82,2955,6696,,,1354,1839,890,2377,7799,3267,1723,572,482,1221,1650
2007 赛季,82,2820,6445,,,1702,2178,800,2491,7692,3291,1732,557,398,1180,1745
2006 赛季,82,2880,6318,,,1769,2245,888,2484,7843,3372,1762,596,472,1239,1858
2005 赛季,82,2993,6443,,,1694,2142,828,2704,7970,3532,1708,534,503,1185,1872
2004 赛季,82,2924,6368,,,1770,2274,980,2455,7849,3435,1901,599,422,1290,1819
2003 赛季,82,2817,6579,,,1808,2302,1149,2416,7771,3565,1653,594,376,1344,1816
2002 赛季,82,2835,6490,,,1633,2177,1008,2462,7693,3470,1605,574,461,1291,1784
2001 赛季,82,2970,6668,,,1498,2026,1083,2474,7846,3557,1714,510,540,1214,1624
2000 赛季,82,2896,6467,,,1429,2061,962,2559,7581,3521,1585,490,513,1293,1775
1999 赛季,82,2877,6757,,,1363,1826,955,2377,7546,3332,1479,578,494,1325,1821
1998 赛季,50,1711,4007,,,883,1225,665,1293,4519,1958,820,424,236,796,1223
1997 赛季,82,2930,6690,,,1480,2047,1040,2276,7865,3316,1533,625,456,1323,1827
1996 赛季,82,2989,6696,,,1517,2074,1092,2242,7969,3334,1662,733,441,1311,1964
