年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,26,1072,2319,326,851,411,513,278,928,2881,1206,624,174,114,320,459
2020 赛季,72,2937,6281,895,2402,1417,1745,760,2525,8186,3285,1737,503,342,953,1392
2019 赛季,67,2723,6067,805,2416,1237,1566,661,2237,7488,2898,1605,523,341,1086,1548
2018 赛季,82,3392,7524,1067,3034,1443,1918,955,2825,9294,3780,2118,675,419,1397,1932
2017 赛季,82,3130,7015,917,2544,1298,1654,743,2693,8475,3436,1946,638,348,1274,1606
2016 赛季,82,3123,6918,729,2137,1484,2039,842,2793,8459,3635,1938,672,397,1294,1491
2015 赛季,82,3168,6923,815,2326,1282,1638,679,2772,8433,3451,2100,747,486,1226,1570
2014 赛季,82,3121,6699,818,2152,1349,1735,715,2611,8409,3326,2111,744,380,1167,1457
2013 赛季,82,3061,6688,768,2116,1392,1782,713,2565,8282,3278,2041,680,326,1251,1577
2012 赛季,82,3084,6644,706,1901,1158,1619,758,2593,8032,3351,2007,664,369,1219,1473
2011 赛季,66,2429,5348,492,1330,1025,1385,652,2066,6375,2718,1481,536,303,921,1178
2010 赛季,82,2971,6429,,,1346,1728,762,2460,7790,3222,1802,497,341,1118,1554
2009 赛季,82,3181,6801,,,1452,1914,969,2451,8338,3420,1789,592,413,980,1632
2008 赛季,82,2956,6451,,,1537,2085,870,2412,8046,3282,1657,603,376,1048,1610
2007 赛季,82,2975,6552,,,1720,2227,1008,2454,8054,3462,1804,600,448,1223,1673
2006 赛季,82,2831,6372,,,1677,2203,976,2312,7680,3288,1573,609,446,1306,1970
2005 赛季,82,2946,6496,,,1656,2207,1069,2232,7972,3301,1625,587,394,1284,2054
2004 赛季,82,2942,6672,,,1417,1994,1100,2335,7605,3435,1614,629,344,1319,2009
2003 赛季,82,2829,6529,,,1534,1976,996,2507,7611,3503,1648,627,408,1350,1826
2002 赛季,82,2859,6434,,,1594,2011,937,2558,7714,3495,1679,611,473,1367,1783
2001 赛季,82,2901,6610,,,1486,1942,955,2445,7711,3400,1656,667,350,1275,1702
2000 赛季,82,2876,6668,,,1374,1811,1028,2490,7459,3518,1559,634,387,1368,1863
1999 赛季,82,3000,6807,,,1477,1987,1146,2570,7735,3716,1548,500,461,1266,1718
1998 赛季,50,1539,3760,,,1040,1422,676,1499,4315,2175,782,346,260,745,987
1997 赛季,82,2887,6352,,,1749,2314,1106,2417,7860,3523,1569,653,491,1214,1671
1996 赛季,82,2812,6307,,,1491,1955,1021,2350,7774,3371,1557,701,427,1228,1591
