年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,27,1064,2302,341,944,437,544,275,921,2906,1196,681,203,82,400,556
2020 赛季,72,2824,6029,932,2606,1201,1520,579,2409,7781,2988,1895,569,286,1013,1363
2019 赛季,73,2880,6160,979,2584,1440,1840,620,2619,8179,3239,1892,547,332,1088,1501
2018 赛季,82,3251,7218,928,2658,1238,1782,921,2879,8668,3800,1991,627,448,1208,1712
2017 赛季,82,3184,6997,903,2506,1209,1601,763,2801,8480,3564,1862,620,437,1178,1648
2016 赛季,82,3202,7037,808,2213,1248,1768,872,2705,8460,3577,1742,588,469,1102,1680
2015 赛季,82,3150,6697,498,1480,1406,1889,807,2811,8204,3618,1709,553,531,1155,1502
2014 赛季,82,2885,6330,556,1659,1438,1940,747,2461,7764,3208,1626,642,372,1214,1636
2013 赛季,82,3142,6272,665,1829,1431,1884,627,2397,8380,3024,1847,732,367,1212,1596
2012 赛季,82,3148,6348,717,1809,1423,1887,676,2490,8436,3166,1890,710,441,1143,1533
2011 赛季,66,2446,5212,370,1030,1238,1598,686,2060,6500,2746,1317,585,355,1002,1282
2010 赛季,82,3031,6301,,,1760,2288,790,2666,8369,3456,1639,544,430,1142,1674
2009 赛季,82,2984,6518,,,1452,1931,875,2553,7914,3428,1548,605,457,1079,1710
2008 赛季,82,3034,6646,,,1411,1871,828,2411,8061,3239,1671,651,451,1026,1696
2007 赛季,82,2808,6336,,,1384,1903,743,2342,7491,3085,1644,589,355,1202,1670
2006 赛季,82,2919,6288,,,1393,2019,817,2526,7759,3343,1681,566,442,1201,1749
2005 赛季,82,3039,6355,,,1616,2310,858,2675,8191,3533,1692,522,442,1186,1871
2004 赛季,82,3097,6368,,,1658,2466,887,2639,8327,3526,1790,528,474,1127,1814
2003 赛季,82,2729,6417,,,1459,1915,940,2459,7402,3399,1565,590,313,1137,1812
2002 赛季,82,2688,6517,,,1292,1689,948,2464,7016,3412,1501,592,324,1167,1856
2001 赛季,82,2801,6382,,,1236,1708,902,2544,7150,3446,1664,547,448,1217,1846
2000 赛季,82,2694,6258,,,1423,1874,813,2435,7289,3248,1630,633,304,1122,1726
1999 赛季,82,2974,6462,,,1345,1827,921,2619,7739,3540,1931,582,524,1231,1947
1998 赛季,50,1616,3565,,,928,1262,503,1512,4449,2015,1019,327,304,744,1035
1997 赛季,82,2850,6327,,,1539,2082,1028,2419,7787,3447,1758,665,429,1226,1982
1996 赛季,82,2822,6235,,,1454,2022,957,2402,7776,3359,1735,650,439,1306,1919
