年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,28,1203,2598,399,1040,436,586,295,925,3241,1220,739,246,154,367,544
2020 赛季,72,2875,6324,985,2666,1146,1505,762,2389,7881,3151,1933,565,344,1069,1298
2019 赛季,65,2425,5586,785,2231,1052,1406,715,2066,6687,2781,1549,428,268,949,1223
2018 赛季,82,3297,7362,977,2783,1510,1895,814,2778,9081,3592,1905,591,405,1001,1550
2017 赛季,82,3197,7106,824,2233,1656,2216,827,2901,8874,3728,1770,559,373,1041,1409
2016 赛季,82,3093,7000,824,2347,1591,1953,721,2853,8601,3574,1891,571,390,942,1360
2015 赛季,82,3036,6922,873,2410,1534,1941,734,2869,8479,3603,1778,595,438,1029,1487
2014 赛季,82,2913,6932,498,1566,1397,1867,820,2793,7721,3613,1654,499,448,976,1494
2013 赛季,82,2976,6730,516,1471,1474,2000,776,2724,7942,3500,1778,499,421,1010,1493
2012 赛季,82,2823,6649,469,1399,1546,2060,917,2389,7661,3306,1587,591,479,1153,1561
2011 赛季,66,2193,5293,263,892,1090,1462,677,1894,5739,2571,1326,397,361,957,1249
2010 赛季,82,2873,6365,,,1511,1999,848,2444,7650,3292,1728,524,433,1192,1637
2009 赛季,82,2858,6306,,,1637,2180,858,2490,7813,3348,1658,632,446,1290,1597
2008 赛季,82,2866,6299,,,1455,1965,886,2366,7677,3252,1741,580,397,1279,1754
2007 赛季,82,2960,6554,,,1510,2115,892,2440,7959,3332,1748,614,402,1204,1777
2006 赛季,82,2960,6643,,,1568,2136,920,2346,7945,3266,1836,638,369,1224,1985
2005 赛季,82,2961,6843,,,1593,2186,990,2270,7943,3260,1717,822,354,1167,1960
2004 赛季,82,2961,6859,,,1487,2096,1083,2335,7729,3418,1794,695,440,1192,1894
