年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,26,1078,2243,412,1107,430,551,265,950,2998,1215,588,188,139,384,490
2020 赛季,72,2971,6344,1205,3098,1235,1546,765,2709,8382,3474,1703,474,371,1023,1335
2019 赛季,72,2886,6130,963,2537,1278,1641,656,2577,8013,3233,1615,438,292,1089,1468
2018 赛季,82,3314,7082,993,2789,1540,2092,820,2981,9161,3801,2133,663,483,1240,1728
2017 赛季,82,3139,6797,887,2425,1375,1766,740,2807,8540,3547,1839,708,420,1205,1608
2016 赛季,82,3033,6515,791,2128,1401,1875,771,2774,8258,3545,1651,550,410,1118,1545
2015 赛季,82,2957,6593,694,1956,1402,1885,880,2665,8010,3545,1554,631,425,1224,1655
2014 赛季,82,2900,6492,610,1781,1391,1929,988,2617,7801,3605,1632,623,489,1256,1583
2013 赛季,82,2951,6652,543,1577,1346,1803,904,2477,7791,3381,1664,570,366,1200,1699
2012 赛季,82,3046,6710,507,1385,1439,1883,989,2457,8038,3446,1859,690,515,1210,1750
2011 赛季,66,2523,5531,273,845,1258,1668,861,2055,6577,2916,1439,545,385,936,1441
2010 赛季,82,3064,6590,,,1590,2061,898,2338,8153,3236,1921,629,484,1175,1865
2009 赛季,82,3227,6575,,,1654,2233,872,2588,8547,3460,2187,675,400,1246,1859
2008 赛季,82,3143,6623,,,1814,2352,940,2423,8492,3363,2024,719,374,1210,1830
2007 赛季,82,3279,6592,,,1745,2298,942,2410,8710,3352,2165,717,355,1200,1970
2006 赛季,82,3069,6471,,,1830,2462,1030,2456,8322,3486,2024,577,339,1277,2067
2005 赛季,82,2744,6207,,,1774,2466,1071,2380,7573,3451,1772,524,492,1290,2032
2004 赛季,82,2828,6301,,,1719,2272,1047,2243,7625,3290,1826,541,374,1292,2189
2003 赛季,82,2690,6172,,,1639,2196,1103,2272,7271,3375,1671,583,494,1365,2096
2002 赛季,82,2894,6189,,,1750,2349,1021,2381,7762,3402,2103,708,467,1374,1837
2001 赛季,82,2869,6374,,,1853,2430,1109,2349,7871,3458,1999,749,523,1353,1971
2000 赛季,82,2960,6289,,,1714,2280,943,2383,7959,3326,2110,661,463,1296,2107
1999 赛季,82,2962,6380,,,1661,2150,936,2426,7914,3362,2041,629,446,1220,2013
1998 赛季,50,1684,3620,,,1158,1510,555,1508,4666,2063,1204,398,276,814,1133
1997 赛季,82,2993,6113,,,2044,2644,962,2405,8279,3367,2070,648,412,1259,1961
1996 赛季,82,3131,6217,,,1858,2416,889,2410,8454,3299,2199,748,418,1259,1981
