年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,27,1111,2453,315,958,466,618,295,925,3003,1220,602,200,131,381,539
2020 赛季,72,3067,6382,874,2400,1181,1585,674,2307,8189,2981,1836,543,358,963,1400
2019 赛季,72,2943,6364,914,2511,1127,1464,695,2372,7927,3067,1713,556,293,1043,1595
2018 赛季,82,3541,7637,927,2455,1354,1865,906,2819,9363,3725,2083,679,363,1095,1751
2017 赛季,82,3179,7063,738,1967,1008,1371,776,2578,8104,3354,1768,643,340,1125,1639
2016 赛季,82,3105,6734,737,1960,1483,1913,715,2652,8430,3367,1844,627,324,1201,1667
2015 赛季,82,3283,7083,660,1839,1514,2089,868,2760,8740,3628,2009,733,368,1326,1676
2014 赛季,82,3010,6617,461,1350,1829,2400,895,2728,8310,3623,1667,550,324,1333,1696
2013 赛季,82,3026,6766,491,1475,1698,2237,990,2656,8241,3646,1547,587,318,1249,1849
2012 赛季,82,3086,6904,610,1681,1437,1869,943,2385,8219,3328,1708,671,342,1199,1717
2011 赛季,66,2490,5712,411,1301,1127,1532,882,1947,6518,2829,1271,561,323,952,1287
2010 赛季,82,3134,6979,,,1455,1981,1071,2526,8151,3597,1675,608,391,1324,1805
2009 赛季,82,3144,6895,,,1430,1969,977,2518,8200,3495,1679,564,366,1226,1827
2008 赛季,82,2990,6685,,,1682,2107,840,2366,8248,3206,1619,569,349,1266,1910
2007 赛季,82,3043,6558,,,1812,2272,829,2456,8408,3285,1567,651,334,1317,1839
2006 赛季,82,2941,6532,,,1891,2473,797,2396,8303,3193,1665,671,265,1194,1792
2005 赛季,82,2954,6500,,,1704,2173,852,2473,8106,3325,1825,608,299,1199,1672
2004 赛季,82,3203,6978,,,1577,2004,1023,2455,8505,3478,2005,674,316,1073,1685
2003 赛季,82,3103,6711,,,1626,2044,888,2492,8433,3380,2152,710,325,1137,1586
2002 赛季,82,3242,6990,,,1367,1832,900,2751,8342,3651,2034,736,457,1192,1666
2001 赛季,82,3267,7003,,,1618,2154,1013,2702,8578,3715,1958,741,375,1128,1560
2000 赛季,82,3132,6969,,,1600,2075,987,2705,8343,3692,1852,793,432,1221,1596
1999 赛季,82,3276,7288,,,1521,2016,1056,2635,8607,3691,1953,787,381,1325,1729
1998 赛季,50,1918,4307,,,883,1293,706,1573,5009,2279,1129,444,232,842,1016
1997 赛季,82,2957,6684,,,1440,2096,1094,2304,7637,3398,1836,596,420,1271,1810
1996 赛季,82,3000,6611,,,1494,2067,1100,2307,7908,3407,1799,588,362,1332,1946
