年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,27,1030,2350,357,993,440,561,294,931,2857,1225,581,189,148,376,510
2020 赛季,72,2839,6225,847,2163,1181,1506,696,2554,7706,3250,1541,507,365,932,1473
2019 赛季,66,2638,5896,631,1872,1076,1550,795,2274,6983,3069,1456,504,313,946,1464
2018 赛季,82,3134,7241,823,2421,1484,1956,857,2811,8575,3668,1646,557,422,1151,1713
2017 赛季,82,3334,7193,673,1914,1225,1557,859,2752,8566,3611,1912,552,421,1208,1682
2016 赛季,82,3244,7256,704,2022,1364,1731,983,2723,8556,3706,1786,581,455,1139,1668
2015 赛季,82,3022,6886,610,1762,1411,1753,850,2788,8065,3638,1682,467,466,1099,1616
2014 赛季,82,2882,6726,560,1614,1211,1575,867,2443,7535,3310,1746,575,382,1206,1768
2013 赛季,82,3027,6739,759,2038,1271,1670,870,2437,8084,3307,1641,631,367,1063,1815
2012 赛季,82,2996,6689,891,2371,1313,1729,890,2436,8196,3326,1579,672,294,988,1650
2011 赛季,66,2365,5335,517,1538,1211,1634,743,2012,6458,2755,1328,622,276,1056,1391
2010 赛季,82,3140,6867,,,1689,2087,847,2470,8734,3317,1757,625,475,1123,1743
2009 赛季,82,3127,6876,,,1376,1759,836,2477,8373,3313,1772,586,305,1148,1638
2008 赛季,82,3157,7091,,,1490,1900,911,2545,8627,3456,1738,610,204,1174,1672
2007 赛季,82,2967,6757,,,1524,2095,1029,2457,7948,3486,1530,521,213,1187,1761
2006 赛季,82,2903,6356,,,1714,2396,1032,2516,7994,3548,1532,543,260,1405,1932
2005 赛季,82,2822,6206,,,1878,2587,1034,2360,7842,3394,1468,555,271,1449,2157
2004 赛季,82,2978,6599,,,1580,2060,965,2393,7977,3358,1665,629,260,1204,1942
2003 赛季,82,2881,6513,,,1374,1732,950,2543,7542,3493,1695,608,391,1289,1897
2002 赛季,82,2967,6725,,,1320,1620,842,2376,7860,3218,1800,579,255,1149,1888
2001 赛季,82,2817,6520,,,1406,1786,876,2458,7514,3334,1720,558,288,1192,1800
2000 赛季,82,2755,6198,,,1374,1727,773,2524,7275,3297,1520,545,346,1189,1863
1999 赛季,82,2897,6374,,,1410,1805,802,2521,7555,3323,1588,515,349,1201,1983
1998 赛季,50,1610,3704,,,892,1218,551,1510,4320,2061,963,395,262,804,1140
1997 赛季,82,2864,6413,,,1399,1812,978,2434,7509,3412,1787,634,278,1247,1947
1996 赛季,82,2882,6227,,,1585,2119,973,2516,7819,3489,1809,629,378,1462,2033
