年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,28,1173,2516,333,934,436,596,277,1020,3115,1297,685,244,164,448,558
2020 赛季,72,2925,6197,796,2248,1241,1679,695,2490,7887,3185,1775,562,386,1095,1377
2019 赛季,71,3006,6269,782,2242,1260,1728,757,2490,8054,3247,1803,612,468,1077,1471
2018 赛季,82,3491,7425,847,2541,1336,1910,835,2985,9165,3820,2096,618,440,1284,1701
2017 赛季,82,3338,7248,822,2384,1364,1910,876,2927,8862,3803,1949,633,388,1295,1736
2016 赛季,82,3224,7164,730,2110,1397,1853,933,2636,8575,3569,1716,674,320,1243,1698
2015 赛季,82,2880,6956,639,2016,1583,2028,878,2645,7982,3523,1478,593,337,1124,1662
2014 赛季,82,3054,7020,532,1546,1433,1935,952,2647,8073,3599,1715,578,366,1086,1741
2013 赛季,82,3139,6980,774,2032,1390,1835,745,2620,8442,3365,2006,611,446,1239,1627
2012 赛季,82,3041,6640,715,2015,1584,2289,942,2732,8381,3674,1818,576,429,1232,1467
2011 赛季,66,2429,5319,362,1112,1202,1589,799,2251,6422,3050,1485,390,351,997,1109
2010 赛季,82,3128,6757,,,1541,1979,989,2616,8321,3605,1801,602,422,1073,1555
2009 赛季,82,3144,6875,,,1519,1985,973,2662,8339,3635,1730,612,400,1096,1592
2008 赛季,82,3307,6981,,,1607,2087,1015,2587,8768,3602,1908,718,420,1103,1698
2007 赛季,82,3248,6818,,,1746,2270,898,2722,8904,3620,2003,654,438,1156,1691
2006 赛季,82,3103,6664,,,1660,2221,886,2495,8474,3381,1850,600,421,1273,1889
2005 赛季,82,2992,6607,,,1618,2172,970,2488,8154,3458,1734,628,350,1143,1894
2004 赛季,82,2895,6629,,,1661,2137,1028,2511,8095,3539,1672,508,344,1176,1794
2003 赛季,82,3028,6676,,,1631,2352,1001,2535,8052,3536,1948,682,379,1132,1732
2002 赛季,82,3091,6856,,,1562,2129,1078,2554,8230,3632,1909,639,470,1192,1874
2001 赛季,82,3150,6840,,,1494,2138,1022,2607,8304,3629,1882,625,478,1040,1823
2000 赛季,82,3109,6685,,,1594,2333,1085,2583,8251,3668,1888,564,490,1184,1872
1999 赛季,82,3137,6836,,,1649,2368,1117,2738,8267,3855,1921,613,534,1143,1841
1998 赛季,50,1841,3935,,,1027,1503,619,1482,4950,2101,1095,389,287,754,1231
1997 赛季,82,3146,6536,,,1863,2743,1079,2471,8652,3550,2009,734,556,1256,1859
1996 赛季,82,3018,6642,,,1613,2330,1092,2414,8200,3506,1845,740,575,1222,1818
