年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,28,1037,2456,344,1054,420,548,276,972,2838,1248,609,183,134,430,540
2020 赛季,72,2754,6423,784,2288,1196,1543,747,2525,7488,3272,1571,496,318,924,1237
2019 赛季,73,2871,6468,807,2354,1282,1656,751,2498,7831,3249,1747,599,396,937,1336
2018 赛季,82,3316,7307,937,2633,1231,1575,822,2902,8800,3724,2095,543,445,1082,1526
2017 赛季,82,3182,7042,844,2405,1271,1678,722,2692,8479,3414,1921,622,400,1192,1579
2016 赛季,82,3139,7133,701,2139,1309,1753,807,2734,8288,3541,1820,580,396,1091,1584
2015 赛季,82,3242,7120,636,1818,1249,1649,843,2709,8369,3552,1933,673,417,1155,1701
2014 赛季,82,3076,6792,554,1598,1141,1565,822,2607,7847,3429,1692,647,314,1221,1714
2013 赛季,82,3022,6784,563,1596,1307,1714,794,2654,7914,3448,1726,630,350,1222,1678
2012 赛季,82,3093,6904,506,1537,1026,1359,890,2612,7718,3502,1871,528,358,1191,1591
2011 赛季,66,2275,5162,670,1785,995,1508,742,2060,6215,2802,1321,451,275,984,1168
2010 赛季,82,2956,6411,,,1453,2101,864,2679,8135,3543,1636,548,384,1224,1640
2009 赛季,82,3005,6394,,,1575,2176,810,2736,8426,3546,1615,512,456,1155,1629
2008 赛季,82,2929,6416,,,1611,2253,819,2728,8286,3547,1593,570,439,1142,1664
2007 赛季,82,3058,6446,,,1650,2288,768,2677,8567,3445,1706,520,333,1173,1688
2006 赛季,82,2875,6090,,,1679,2393,920,2418,7771,3338,1525,565,416,1392,1904
2005 赛季,82,2911,6167,,,1663,2277,892,2402,7784,3294,1495,532,362,1240,1908
2004 赛季,82,3034,6679,,,1772,2335,1038,2544,8160,3582,1583,633,441,1322,1937
2003 赛季,82,2904,6768,,,1474,2000,1003,2350,7711,3353,1584,547,308,1123,1744
2002 赛季,82,2947,6763,,,1616,2079,958,2392,8078,3350,1676,696,300,1177,1888
2001 赛季,82,3087,6893,,,1446,1917,942,2440,8240,3382,1804,665,384,1119,1700
2000 赛季,82,3013,6873,,,1476,2068,1069,2450,7992,3519,1803,674,481,1245,2071
1999 赛季,82,3169,7014,,,1574,2142,1145,2540,8206,3685,1709,743,467,1443,1967
1998 赛季,50,1687,3943,,,876,1252,688,1445,4473,2133,1067,496,213,819,935
1997 赛季,82,2771,6455,,,1552,2138,1178,2203,7387,3381,1694,649,441,1258,1617
1996 赛季,82,2839,6497,,,1474,1975,1071,2221,7719,3292,1689,694,363,1250,1643
