年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,26,1005,2273,319,981,370,501,256,872,2699,1128,583,187,104,317,497
2020 赛季,72,2958,6287,994,2744,1186,1524,657,2463,8096,3120,1647,450,311,869,1396
2019 赛季,75,3124,6772,1136,3095,1392,1787,791,2729,8776,3520,1849,460,363,953,1462
2018 赛季,82,3182,7122,1022,3002,1541,2076,832,2884,8927,3716,1918,533,351,1167,1650
2017 赛季,82,3128,7042,967,2688,1167,1530,666,2717,8390,3383,1858,578,310,1007,1578
2016 赛季,82,2968,6750,878,2473,1215,1516,647,2516,8029,3163,1705,614,307,972,1567
2015 赛季,82,3064,6900,806,2342,1454,1831,751,2781,8388,3532,1813,560,306,1047,1595
2014 赛季,82,3255,7036,732,2082,1386,1843,858,2608,8628,3466,1846,663,371,1062,1644
2013 赛季,82,3249,6858,721,1877,1378,1733,840,2514,8597,3354,1935,704,356,1110,1636
2012 赛季,82,3182,6892,606,1628,1323,1669,767,2670,8293,3437,1906,648,454,1144,1698
2011 赛季,66,2398,5412,497,1464,1029,1334,665,2157,6322,2822,1380,565,337,926,1226
2010 赛季,82,3069,6463,,,1437,1850,780,2618,8220,3398,1954,557,352,1145,1575
2009 赛季,82,3140,6760,,,1526,1870,834,2586,8364,3420,1917,624,449,1059,1563
2008 赛季,82,3128,6770,,,1516,1852,909,2595,8343,3504,1779,591,429,1043,1600
2007 赛季,82,3025,6515,,,1690,2075,883,2643,8234,3526,1720,490,402,1037,1786
2006 赛季,82,3010,6442,,,1646,2045,920,2515,8201,3435,1632,560,408,1140,1837
2005 赛季,82,2948,6375,,,1818,2322,1030,2431,8130,3461,1473,593,488,1112,1834
2004 赛季,82,3058,6691,,,1826,2314,990,2530,8405,3520,1610,708,461,1102,1827
2003 赛季,82,3322,7230,,,1475,1854,1174,2538,8626,3712,1963,656,437,1000,1609
2002 赛季,82,3161,6982,,,1486,1793,912,2544,8444,3456,1837,665,449,949,1730
2001 赛季,82,3200,6930,,,1608,1994,918,2568,8629,3486,1811,581,392,992,1842
2000 赛季,82,3085,6716,,,1552,1954,831,2571,8239,3402,1740,618,492,1141,1907
1999 赛季,82,3195,7047,,,1407,1751,931,2444,8316,3375,1810,592,416,1124,1770
1998 赛季,50,1749,4033,,,881,1210,645,1478,4581,2123,921,352,292,692,1065
1997 赛季,82,2882,6754,,,1308,1738,1008,2280,7494,3288,1535,646,466,1183,1643
1996 赛季,82,2813,6452,,,1375,1918,1040,2262,7431,3302,1663,654,351,1324,1798
