年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,27,1082,2325,313,874,476,583,228,977,2953,1205,687,184,143,377,532
2020 赛季,72,3106,6289,1020,2600,1305,1623,640,2559,8537,3199,1929,484,379,975,1371
2019 赛季,72,2908,6498,941,2746,1291,1732,766,2683,8048,3449,1761,464,323,1099,1510
2018 赛季,82,3301,7358,1047,2965,1555,2088,900,2919,9204,3819,1954,539,339,1236,1763
2017 赛季,82,3136,7114,1041,2924,1428,1850,792,2852,8741,3644,1941,512,390,1245,1688
2016 赛季,82,3102,6987,877,2591,1592,2020,721,2879,8673,3600,1756,593,387,1356,1726
2015 赛季,82,3136,6920,531,1508,1286,1699,863,2614,8089,3477,1829,627,332,1212,1476
2014 赛季,82,3069,6804,541,1633,1359,1817,846,2627,8038,3473,1716,576,340,1133,1579
2013 赛季,82,2931,6391,709,1922,1508,2002,721,2407,8079,3128,1714,705,311,1191,1777
2012 赛季,82,2942,6544,628,1760,1432,1958,1047,2460,7944,3507,1668,599,391,1206,1500
2011 赛季,66,2262,5320,507,1481,1113,1433,783,1879,6144,2662,1311,493,260,995,1268
2010 赛季,82,2918,6638,,,1427,1881,909,2440,7722,3349,1723,458,384,1152,1807
2009 赛季,82,2813,6554,,,1572,2015,897,2358,7575,3255,1540,573,393,1182,1643
2008 赛季,82,2925,6536,,,1542,1980,850,2415,8044,3265,1636,559,391,1075,1838
2007 赛季,82,2856,6450,,,1647,2237,913,2520,7857,3433,1925,521,390,1229,1855
2006 赛季,82,2913,6379,,,1566,2153,822,2525,8001,3347,1962,499,273,1212,1869
2005 赛季,82,2778,6317,,,1658,2187,822,2539,7691,3361,1884,558,278,1119,1903
2004 赛季,82,2753,6419,,,1555,2039,855,2387,7496,3242,1772,650,308,1164,1985
2003 赛季,82,2813,6372,,,1398,1856,862,2473,7401,3335,2009,709,322,1209,1722
2002 赛季,82,2906,6585,,,1662,2195,991,2528,7820,3519,1887,717,374,1212,1772
2001 赛季,82,3042,6816,,,1402,1907,1039,2515,7889,3554,1990,716,490,1189,1734
2000 赛季,82,2781,6550,,,1629,2146,909,2337,7552,3246,1603,649,407,1208,1982
1999 赛季,82,2979,6881,,,1601,2041,1040,2315,8036,3355,1688,720,393,1119,1913
1998 赛季,50,1691,4160,,,962,1251,715,1437,4569,2152,923,491,273,750,1134
1997 赛季,82,3055,6928,,,1750,2351,1344,2137,8170,3481,1685,777,314,1180,1917
1996 赛季,82,2994,7091,,,1502,2031,1410,2376,7974,3786,1726,677,481,1290,1865
