年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,26,1047,2256,325,940,325,427,223,869,2744,1092,655,194,105,346,489
2020 赛季,72,3114,6422,927,2462,1129,1406,758,2442,8284,3200,1933,582,323,972,1374
2019 赛季,73,3069,6488,801,2234,1185,1526,786,2436,8124,3222,1952,586,337,1005,1485
2018 赛季,82,3439,7384,903,2571,1294,1714,972,2832,9075,3804,2245,634,363,1102,1644
2017 赛季,82,3338,7102,940,2536,1404,1830,902,2748,9020,3650,2059,627,404,1226,1533
2016 赛季,82,3377,7194,870,2365,1537,1986,966,2837,9161,3803,2077,568,323,1226,1567
2015 赛季,82,3093,7003,656,1943,1513,1974,941,2718,8355,3659,1858,609,395,1202,1723
2014 赛季,82,3099,7158,660,2032,1462,1991,1012,2653,8320,3665,1788,641,367,1166,1882
2013 赛季,82,3147,7042,702,1959,1563,2154,1009,2717,8559,3726,1838,615,459,1305,1890
2012 赛季,82,3339,6983,521,1518,1505,2148,1092,2601,8704,3693,2002,762,533,1253,1682
2011 赛季,66,2572,5404,435,1311,1293,1760,738,2105,6872,2843,1581,540,330,1015,1297
2010 赛季,82,3145,6613,,,1859,2429,791,2652,8811,3443,1813,605,352,1157,1719
2009 赛季,82,3124,6678,,,1937,2508,889,2505,8729,3394,1719,683,417,1136,1844
2008 赛季,82,3058,6510,,,1891,2487,905,2507,8555,3412,1820,710,492,1257,1874
2007 赛季,82,3307,7038,,,1891,2519,918,2698,9074,3616,2024,752,551,1203,1731
2006 赛季,82,3164,6805,,,1827,2449,1001,2558,8639,3559,1920,678,435,1352,1756
2005 赛季,82,3078,6672,,,1721,2312,903,2486,8227,3389,1921,698,463,1216,1863
2004 赛季,82,3038,6615,,,1765,2313,967,2473,8161,3440,1958,750,489,1224,1878
2003 赛季,82,2993,6763,,,1655,2159,1083,2387,7972,3470,1794,745,520,1278,1804
2002 赛季,82,2689,6544,,,1294,1850,1112,2363,6901,3475,1737,712,422,1514,2056
2001 赛季,82,2915,6870,,,1306,1756,1117,2310,7559,3427,1817,613,462,1205,1873
2000 赛季,82,2979,6877,,,1448,1964,1044,2583,7918,3627,1970,552,538,1136,1820
1999 赛季,82,3057,6911,,,1531,2116,1073,2590,8115,3663,1911,554,618,1281,1962
1998 赛季,50,1681,3989,,,1010,1325,647,1392,4674,2039,969,376,275,739,1145
1997 赛季,82,2677,6412,,,1658,2147,1040,2157,7300,3197,1547,664,393,1312,1937
1996 赛季,82,2934,6687,,,1516,1992,994,2452,8020,3446,1889,503,487,1359,1784
