年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,28,1146,2485,328,994,406,520,289,983,3026,1272,671,199,168,399,567
2020 赛季,72,3115,6567,889,2445,1183,1493,648,2424,8302,3072,1973,611,460,975,1453
2019 赛季,73,3075,6457,743,2046,1096,1393,636,2489,7989,3125,1888,543,376,967,1445
2018 赛季,82,3390,7135,779,2081,1298,1727,762,2766,8857,3528,2128,713,404,1122,1594
2017 赛季,82,3345,7083,741,2010,1225,1573,788,2684,8656,3472,1819,721,340,1088,1544
2016 赛季,82,3221,6931,709,1885,1467,1811,742,2702,8618,3444,1844,669,409,1130,1597
2015 赛季,82,3142,6985,663,1889,1430,1872,847,2779,8377,3626,1741,742,391,1219,1641
2014 赛季,82,2998,6824,612,1740,1373,1817,856,2822,7981,3678,1757,505,375,1147,1742
2013 赛季,82,2949,6573,550,1542,1485,1907,834,2831,7933,3665,1651,550,446,1237,1675
2012 赛季,81,2845,6525,555,1599,1429,1915,1043,2671,7674,3714,1645,580,513,1227,1623
2011 赛季,66,2354,5375,392,1064,1349,1724,826,2070,6449,2896,1228,523,357,925,1430
2010 赛季,82,3003,6787,,,1592,2035,914,2657,8183,3571,1611,584,456,1262,1782
2009 赛季,82,3020,6823,,,1564,2019,785,2618,8263,3403,1730,585,439,1232,1848
2008 赛季,82,3220,7080,,,1525,1890,924,2661,8617,3585,1775,573,434,1189,1895
2007 赛季,82,3102,6993,,,1568,2042,904,2633,8527,3537,1864,623,412,1236,1921
2006 赛季,82,2872,6561,,,1615,2125,990,2441,7840,3431,1680,599,447,1335,1912
2005 赛季,82,2786,6274,,,1591,2158,898,2559,7699,3457,1631,598,409,1254,1821
2004 赛季,82,2668,6169,,,1748,2206,868,2418,7626,3286,1489,615,357,1173,1890
2003 赛季,82,2753,6322,,,1538,2014,965,2452,7493,3417,1774,726,411,1182,1709
2002 赛季,82,2911,6608,,,1739,2271,1004,2622,7940,3626,1910,696,443,1210,1811
2001 赛季,82,2935,6580,,,1663,2155,930,2568,7938,3498,1884,658,436,1249,1876
2000 赛季,82,2828,6431,,,1539,2009,921,2595,7591,3516,1763,563,487,1244,1926
1999 赛季,82,3047,6640,,,1629,2008,842,2612,8306,3454,1857,559,422,1159,1786
1998 赛季,50,1731,3866,,,977,1228,574,1452,4733,2026,1005,316,223,649,1082
1997 赛季,82,2921,6223,,,1631,2136,874,2348,7874,3222,1889,645,368,1168,1859
1996 赛季,82,2851,6254,,,1687,2336,1029,2390,7819,3419,1750,585,394,1338,1977
