年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,29,1119,2590,317,941,452,561,358,985,3007,1343,705,219,120,439,579
2020 赛季,72,3060,6412,762,2190,1369,1878,845,2568,8251,3413,1872,545,315,1052,1295
2019 赛季,72,3065,6598,982,2656,1229,1687,797,2551,8341,3348,1932,539,358,1181,1524
2018 赛季,82,3581,7563,842,2449,1462,1921,909,2969,9466,3878,2216,610,441,1215,1732
2017 赛季,82,3500,7241,837,2312,1324,1716,712,2923,9161,3635,2195,657,485,1223,1570
2016 赛季,82,3210,7130,768,2196,1368,1825,703,2879,8556,3582,1869,638,453,1054,1490
2015 赛季,82,3153,7040,702,1951,1415,1823,782,2712,8423,3494,1818,633,342,1102,1713
2014 赛季,82,3108,6795,586,1583,1345,1790,942,2621,8147,3563,1806,553,510,1087,1530
2013 赛季,82,3101,6761,486,1303,1489,1936,933,2486,8177,3419,1745,647,523,1129,1857
2012 赛季,82,2955,6589,535,1474,1269,1636,988,2426,7714,3414,1721,520,440,1193,1673
2011 赛季,66,2300,5103,259,777,1057,1397,724,1991,5916,2715,1368,488,316,1024,1324
2010 赛季,82,2944,6416,,,1452,1897,824,2468,7784,3292,1691,624,359,1069,1719
2009 赛季,82,3178,6842,,,1293,1661,852,2450,8220,3302,1828,625,300,1103,1606
2008 赛季,82,2911,6366,,,1479,1833,802,2453,7857,3255,1609,593,338,1029,1665
2007 赛季,82,3164,6796,,,1312,1707,937,2494,8270,3431,1785,637,321,974,1531
2006 赛季,82,2971,6674,,,1436,1941,1025,2512,7833,3537,1537,522,347,1187,1620
2005 赛季,82,2831,6428,,,1649,2176,918,2379,7611,3297,1519,611,311,1095,1786
2004 赛季,82,2718,6556,,,1401,1830,1019,2281,7252,3300,1724,550,310,1217,1883
2003 赛季,82,2772,6605,,,1454,1937,1091,2418,7529,3509,1716,708,346,1228,1715
2002 赛季,82,2914,6695,,,1467,1910,1097,2475,7699,3572,1807,656,394,1212,1769
2001 赛季,82,2893,6580,,,1568,2105,1059,2505,7700,3564,1759,653,456,1150,1747
2000 赛季,82,2800,6501,,,1599,2146,1033,2608,7539,3641,1900,665,455,1183,1753
1999 赛季,82,2935,6533,,,1863,2458,884,2635,8072,3519,2023,732,480,1206,1670
1998 赛季,50,1671,3718,,,1034,1384,480,1493,4644,1973,1110,443,247,796,1101
1997 赛季,82,2968,6344,,,1641,2186,985,2341,7923,3326,1941,691,312,1247,1757
1996 赛季,82,2988,6342,,,1541,1984,910,2298,8108,3208,2021,597,349,1203,1702
