年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,26,930,2272,295,941,436,554,273,826,2591,1099,557,213,127,399,517
2020 赛季,72,2783,6162,832,2370,1278,1683,694,2381,7676,3075,1743,531,371,1075,1477
2019 赛季,66,2595,5658,791,2157,1097,1476,644,2109,7078,2753,1589,490,299,1008,1299
2018 赛季,82,3185,7238,993,2854,1415,1893,936,2752,8778,3688,1845,569,331,1135,1811
2017 赛季,82,3208,7129,886,2373,1207,1621,830,2756,8509,3586,1868,628,317,1102,1508
2016 赛季,82,3269,7282,631,1915,1140,1586,908,2838,8309,3746,1732,574,310,973,1467
2015 赛季,82,3111,7087,740,2148,1399,2095,1021,2777,8361,3798,1594,573,304,1110,1557
2014 赛季,82,3041,7038,703,2043,1292,1838,1051,2630,8077,3681,1771,623,383,1099,1559
2013 赛季,82,3182,7124,507,1580,1415,2111,1196,2525,8286,3721,1714,687,395,1193,1666
2012 赛季,82,2979,6638,513,1440,1307,1870,991,2463,7778,3454,1742,574,400,1241,1623
2011 赛季,66,2291,5232,317,916,1098,1461,775,1882,5997,2657,1232,460,278,1033,1293
2010 赛季,82,3056,6647,,,1367,1854,931,2236,7951,3167,1730,595,328,1067,1629
2009 赛季,82,2940,6602,,,1455,1998,1053,2242,7709,3295,1591,596,313,1100,1822
2008 赛季,82,2981,6559,,,1388,1849,949,2448,7727,3397,1689,493,377,973,1712
2007 赛季,82,2999,6551,,,1507,1965,974,2423,7992,3397,1831,583,472,956,1688
2006 赛季,82,2942,6484,,,1539,1988,948,2374,7872,3322,1768,583,472,1001,1672
2005 赛季,82,2983,6558,,,1418,1950,975,2347,7941,3322,1971,580,490,931,1513
2004 赛季,82,2851,6421,,,1588,2150,1054,2507,7653,3561,1787,576,497,1133,1638
2003 赛季,82,2747,6314,,,1561,2074,1014,2492,7388,3506,1702,659,570,1241,1664
2002 赛季,82,2700,6277,,,1559,2021,883,2445,7492,3328,1620,556,468,1104,1748
2001 赛季,82,2845,6300,,,1478,1954,810,2366,7735,3176,1765,648,565,1193,1695
2000 赛季,82,2919,6880,,,1610,2233,1108,2626,7837,3734,1629,613,447,1304,1955
1999 赛季,82,3044,6635,,,1956,2506,917,2458,8483,3375,1707,665,273,1288,2011
1998 赛季,50,1660,3716,,,950,1283,605,1412,4518,2017,1009,444,208,790,1139
1997 赛季,82,2862,6373,,,1704,2288,1044,2338,7721,3382,1597,678,344,1198,1805
1996 赛季,82,2827,6095,,,1487,1995,858,2292,7723,3150,1554,632,283,1041,1652
