年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,26,1019,2357,295,863,380,493,344,817,2713,1161,545,237,121,329,512
2020 赛季,72,2859,6383,1041,2831,1252,1536,680,2314,8011,2994,1735,618,388,952,1526
2019 赛季,72,2897,6331,995,2663,1329,1670,685,2583,8118,3268,1816,636,358,1067,1559
2018 赛季,82,3460,7305,1015,2771,1449,1803,786,2920,9384,3706,2085,680,437,1150,1724
2017 赛季,82,3383,7169,968,2705,1422,1790,800,2807,9156,3607,1995,626,500,1095,1783
2016 赛季,82,3211,6918,725,1996,1615,2028,871,2676,8762,3547,1517,677,400,1041,1708
2015 赛季,82,3006,6669,708,1915,1702,2190,836,2724,8422,3560,1536,636,449,1073,1610
2014 赛季,82,3108,6829,726,2060,1585,2014,881,2526,8527,3407,1701,615,357,1057,1712
2013 赛季,82,2992,6718,713,1917,1608,2055,935,2552,8305,3487,1737,577,343,1159,1882
2012 赛季,82,2979,6685,571,1665,1442,1831,871,2426,7971,3297,1765,595,392,1124,1836
2011 赛季,66,2268,5154,365,1075,1085,1410,697,2074,5986,2771,1382,429,321,1001,1532
2010 赛季,82,3144,6755,,,1491,1976,963,2343,8124,3306,1795,581,350,1206,1807
2009 赛季,82,3199,6631,,,1618,2118,806,2507,8534,3313,1804,469,384,1100,1819
2008 赛季,82,3054,6673,,,1534,1861,802,2513,8121,3315,1835,523,390,1098,1593
2007 赛季,82,3148,6726,,,1347,1658,790,2496,8215,3286,1953,570,336,959,1596
2006 赛季,82,3032,6547,,,1562,1982,755,2480,8157,3235,1822,581,321,1104,1672
2005 赛季,82,3013,6639,,,1653,2089,864,2291,8287,3155,1593,529,272,1071,1965
2004 赛季,82,2952,6656,,,1626,2101,844,2444,8178,3288,1670,621,317,1087,1876
2003 赛季,82,2654,6348,,,1237,1650,830,2419,7006,3249,1574,604,402,1164,1748
2002 赛季,82,2847,6664,,,1350,1879,1023,2355,7453,3378,1583,609,392,1181,1761
2001 赛季,82,2919,6727,,,1269,1717,1114,2336,7494,3450,1779,688,454,1174,1771
2000 赛季,82,3048,6972,,,1482,1984,1118,2529,8007,3647,2004,599,519,1080,1745
1999 赛季,82,2980,6882,,,1583,2068,1098,2449,7968,3547,1947,666,544,1137,1989
1998 赛季,50,1660,3940,,,1011,1330,712,1447,4557,2159,1036,439,321,799,1139
1997 赛季,82,2965,6813,,,1479,2060,1187,2149,7781,3336,1746,769,663,1371,1851
1996 赛季,82,2897,6632,,,1446,2008,1135,2254,7829,3389,1714,722,517,1347,1883
