年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,26,993,2224,336,983,431,617,249,902,2753,1151,598,185,134,461,533
2020 赛季,72,2826,6372,992,2923,1189,1606,671,2396,7833,3067,1699,546,361,1060,1407
2019 赛季,72,2936,6512,1126,3261,1484,1876,704,2484,8482,3188,1557,627,371,1057,1566
2018 赛季,82,3218,7163,1323,3721,1582,2001,836,2613,9341,3449,1741,700,405,1094,1803
2017 赛季,82,3174,6906,1256,3470,1609,2061,739,2825,9213,3564,1767,699,392,1135,1597
2016 赛季,82,3305,7152,1181,3306,1667,2177,892,2746,9458,3638,2070,670,352,1240,1634
2015 赛季,82,3094,6847,878,2533,1671,2407,930,2601,8737,3531,1821,821,430,1307,1790
2014 赛季,82,3032,6832,933,2680,1525,2133,958,2624,8522,3582,1820,777,407,1366,1803
2013 赛季,82,3118,6603,779,2179,1814,2549,920,2797,8829,3717,1755,621,461,1323,1676
2012 赛季,82,3124,6782,867,2369,1573,2087,909,2652,8688,3561,1902,679,359,1348,1662
2011 赛季,66,2489,5543,478,1330,1018,1301,769,2014,6474,2783,1404,496,319,955,1347
2010 赛季,82,3170,6975,,,1668,2083,962,2549,8685,3511,1955,581,371,1110,1641
2009 赛季,82,3094,6923,,,1561,2022,971,2471,8395,3442,1790,583,318,1188,1712
2008 赛季,82,2959,6526,,,1531,1903,862,2662,8070,3524,1662,548,355,1158,1553
2007 赛季,82,3003,6698,,,1342,1848,1002,2659,7931,3661,1757,598,420,1125,1609
2006 赛季,82,2906,6528,,,1436,1906,880,2673,7953,3553,1704,583,337,1162,1710
2005 赛季,82,2708,6252,,,1502,1980,849,2565,7387,3414,1580,588,320,1193,1863
2004 赛季,82,2846,6419,,,1551,1986,874,2601,7796,3475,1733,563,378,1135,1807
2003 赛季,82,2738,6195,,,1371,1774,847,2647,7362,3494,1579,560,443,1373,1762
2002 赛季,82,2840,6461,,,1569,2044,1024,2564,7688,3588,1506,594,493,1276,1602
2001 赛季,82,2837,6629,,,1402,1893,1025,2411,7572,3436,1482,537,445,1156,1476
2000 赛季,82,2943,6494,,,1582,2086,919,2524,7972,3443,1613,587,358,1204,1657
1999 赛季,82,3001,6664,,,1573,2145,1008,2586,8156,3594,1774,613,438,1425,1663
1998 赛季,50,1755,3798,,,865,1187,536,1540,4711,2076,1058,386,260,812,960
1997 赛季,82,2946,6513,,,1634,2120,987,2350,8099,3337,1799,686,294,1298,1653
1996 赛季,82,3037,6484,,,1503,1992,927,2565,8248,3492,2013,685,347,1365,1610
