年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,27,1059,2310,306,866,452,553,230,912,2876,1142,605,214,159,340,514
2020 赛季,72,2981,6257,811,2169,1409,1836,722,2522,8182,3244,1706,655,447,1040,1456
2019 赛季,73,3000,6417,848,2307,1236,1638,764,2553,8084,3317,1884,586,389,1037,1529
2018 赛季,82,3407,7233,889,2474,1742,2258,892,3025,9445,3917,2207,606,432,1223,1745
2017 赛季,82,3349,7098,901,2445,1405,1868,893,2996,9004,3889,2221,682,420,1353,1811
2016 赛季,82,3088,6992,831,2443,1393,1806,807,2706,8400,3513,1949,692,420,1366,1793
2015 赛季,82,2970,6887,764,2255,1284,1850,777,2605,7988,3382,1765,680,495,1343,1780
2014 赛季,82,2765,6777,692,2160,1320,1953,978,2536,7542,3514,1683,789,487,1453,1778
2013 赛季,82,3108,7150,577,1847,1362,1918,949,2556,8155,3505,1791,765,330,1384,1844
2012 赛季,82,3059,6895,518,1438,1004,1377,896,2493,7640,3389,1867,609,384,1070,1505
2011 赛季,66,2471,5516,349,963,889,1198,704,2144,6180,2848,1453,526,340,738,1157
2010 赛季,82,3125,6776,,,1426,1851,850,2578,8119,3428,1861,621,355,1063,1592
2009 赛季,82,3087,6706,,,1366,1808,941,2421,8014,3362,1723,667,439,1192,1677
2008 赛季,82,2997,6532,,,1652,2216,1039,2336,7987,3375,1647,658,415,1157,1650
2007 赛季,82,3056,6648,,,1509,2137,1067,2370,7923,3437,1673,712,400,1172,1620
2006 赛季,82,2932,6408,,,1637,2135,899,2353,7785,3252,1669,590,390,1258,1671
2005 赛季,82,3001,6546,,,1770,2330,873,2425,8147,3298,1653,651,404,1159,1712
2004 赛季,82,2946,6736,,,1731,2194,909,2536,8128,3445,1710,756,321,1274,1878
2003 赛季,82,2682,6260,,,1512,2009,941,2408,7215,3349,1640,654,358,1307,1701
2002 赛季,82,2975,6640,,,1746,2253,1042,2415,7941,3457,1771,844,284,1212,1804
2001 赛季,82,2804,6436,,,1639,2104,1092,2534,7461,3626,1638,705,363,1256,1645
2000 赛季,82,2902,6487,,,1697,2277,1075,2600,7763,3675,1692,690,408,1292,1673
1999 赛季,82,2993,6776,,,1577,2226,1147,2468,7771,3615,1817,791,386,1284,1939
1998 赛季,50,1656,3883,,,1073,1486,729,1428,4483,2157,934,542,271,822,1152
1997 赛季,82,2837,6409,,,1734,2352,1125,2294,7651,3419,1729,729,490,1356,1878
1996 赛季,82,3003,6850,,,1776,2450,1267,2355,8215,3622,1695,683,394,1437,1733
