年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,26,1118,2388,264,753,322,458,268,911,2822,1179,729,218,133,345,438
2020 赛季,72,3014,6518,716,2046,1254,1584,669,2489,7998,3158,1759,505,366,821,1293
2019 赛季,71,2995,6350,760,2021,1348,1664,640,2530,8098,3170,1751,518,390,895,1377
2018 赛季,82,3468,7248,812,2071,1408,1720,757,2910,9156,3667,2013,501,386,992,1487
2017 赛季,82,3202,6999,696,1977,1324,1715,849,2777,8424,3626,1868,628,460,1078,1408
2016 赛季,82,3222,6864,753,1927,1440,1806,821,2777,8637,3598,1954,655,484,1101,1498
2015 赛季,82,3289,6797,570,1518,1342,1672,770,2831,8490,3601,2010,677,485,1071,1433
2014 赛季,82,3208,6854,677,1847,1368,1754,806,2772,8461,3578,2000,657,444,1146,1564
2013 赛季,82,3326,6844,698,1757,1289,1642,762,2786,8639,3548,2064,604,420,1180,1495
2012 赛季,82,3210,6675,663,1764,1365,1725,666,2721,8448,3387,2058,695,446,1206,1427
2011 赛季,66,2611,5463,552,1405,1067,1427,683,2153,6841,2836,1528,490,293,895,1143
2010 赛季,82,3148,6628,,,1521,1984,829,2603,8502,3432,1836,602,372,1101,1556
2009 赛季,82,3150,6659,,,1458,1969,887,2621,8312,3508,1829,516,381,1116,1669
2008 赛季,82,3042,6534,,,1249,1641,728,2638,7958,3366,1736,474,329,963,1546
2007 赛季,82,2938,6424,,,1350,1774,771,2612,7820,3383,1718,521,337,1035,1537
2006 赛季,82,2999,6328,,,1486,1980,761,2577,8079,3338,1814,587,417,1137,1588
2005 赛季,82,2993,6342,,,1327,1891,851,2548,7837,3399,1717,543,467,1126,1714
2004 赛季,82,2923,6450,,,1535,2120,987,2489,7888,3476,1771,613,543,1126,1717
2003 赛季,82,2842,6434,,,1409,2069,1029,2669,7501,3698,1676,661,537,1203,1667
2002 赛季,82,2908,6297,,,1591,2194,939,2556,7856,3495,1636,629,529,1295,1672
2001 赛季,82,2913,6363,,,1668,2249,907,2566,7932,3473,1643,625,537,1180,1575
2000 赛季,82,2884,6262,,,1673,2340,902,2712,7886,3614,1778,568,576,1145,1551
1999 赛季,82,2952,6393,,,1652,2214,927,2666,7886,3593,1819,614,551,1233,1716
1998 赛季,50,1740,3812,,,988,1415,614,1584,4640,2198,1101,421,351,759,1010
1997 赛季,82,2898,6187,,,1489,2164,984,2638,7587,3622,1839,516,568,1318,1731
1996 赛季,82,2827,6391,,,1386,1929,1101,2129,7418,3230,1661,646,431,1243,1764
