年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,25,1056,2212,284,770,389,499,229,905,2785,1134,652,219,105,342,473
2020 赛季,72,3118,6357,940,2490,1124,1347,630,2462,8300,3092,1939,517,312,902,1374
2019 赛季,73,3006,6429,831,2320,1451,1740,712,2465,8294,3177,1987,559,290,1077,1609
2018 赛季,82,3289,7164,790,2400,1447,1858,748,2563,8815,3311,1957,735,418,1279,1932
2017 赛季,82,3153,7141,763,2286,1453,1962,842,2776,8522,3618,1743,569,370,1289,1807
2016 赛季,82,3270,7260,615,1854,1676,2159,976,2712,8831,3688,1604,673,399,1265,2030
2015 赛季,82,3051,7018,738,2118,1431,1905,943,2733,8271,3676,1701,632,313,1410,1858
2014 赛季,82,3178,7038,698,2048,1343,1767,896,2643,8397,3539,1659,700,385,1238,1744
2013 赛季,82,3172,6845,765,2055,1520,2004,928,2601,8629,3529,1563,688,374,1258,1798
2012 赛季,82,3061,6917,480,1455,1203,1618,959,2454,7805,3413,1855,659,434,1278,1688
2011 赛季,66,2495,5445,444,1295,1058,1397,717,2035,6492,2752,1486,431,366,928,1233
2010 赛季,82,3219,6844,,,1472,1939,821,2478,8611,3299,1945,545,357,1169,1666
2009 赛季,82,3339,6788,,,1631,2117,910,2616,9039,3526,1912,479,418,1210,1713
2008 赛季,82,3373,6695,,,1675,2251,900,2520,8974,3420,1905,589,420,1288,1691
2007 赛季,82,3392,6782,,,1548,1977,720,2683,9026,3403,2188,532,518,1184,1633
2006 赛季,82,3388,6855,,,1476,1827,737,2583,9037,3320,2122,553,394,1189,1659
2005 赛季,82,3430,7167,,,1189,1475,778,2650,8886,3428,2179,549,412,1088,1683
2004 赛季,82,3351,7018,,,1556,2080,967,2652,9054,3619,1927,572,453,1125,1563
2003 赛季,82,2958,6671,,,1392,1865,924,2406,7723,3330,1586,734,383,1249,1862
2002 赛季,82,3005,6776,,,1430,1928,1049,2440,7834,3489,1719,665,404,1208,1801
2001 赛季,82,3097,6934,,,1250,1630,1072,2430,7802,3502,1838,668,401,1205,1785
2000 赛季,82,2944,6757,,,1490,1973,970,2529,7710,3499,1905,775,429,1250,1864
1999 赛季,82,3093,6771,,,1467,1934,1022,2558,8111,3580,2098,744,433,1368,1973
1998 赛季,50,1797,4004,,,924,1215,598,1418,4779,2016,1249,444,200,681,1022
1997 赛季,82,3138,6710,,,1459,1948,991,2452,8166,3443,2124,756,429,1236,1765
1996 赛季,82,3143,6705,,,1618,2125,916,2376,8431,3292,2067,664,322,1180,1727
