年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,26,941,2293,302,984,378,508,258,927,2562,1185,524,189,127,366,447
2020 赛季,72,2795,6338,857,2529,1113,1536,715,2568,7560,3283,1588,504,316,1162,1305
2019 赛季,72,2879,6156,770,2171,1422,1787,593,2495,7950,3088,1562,550,353,986,1390
2018 赛季,82,3497,7706,932,2677,1461,2049,1031,2911,9387,3942,1917,766,425,1145,1839
2017 赛季,82,3271,7221,881,2491,1421,1985,1024,2671,8844,3695,1750,743,412,1147,1653
2016 赛季,82,3237,7169,692,2116,1575,2113,1002,2821,8741,3823,1721,648,408,1230,1715
2015 赛季,82,3372,7082,678,1945,1616,2067,1071,2916,9038,3987,1883,603,487,1305,1691
2014 赛季,82,3184,7119,632,1864,1524,2020,1052,2844,8524,3896,1681,598,454,1205,1829
2013 赛季,82,3194,6782,664,1839,1653,2052,887,2781,8705,3668,1794,678,501,1256,1858
2012 赛季,82,3126,6504,598,1588,1819,2196,854,2725,8669,3579,1753,679,624,1253,1654
2011 赛季,66,2462,5229,472,1317,1406,1744,726,2157,6802,2883,1224,498,539,1079,1352
2010 赛季,82,3066,6609,,,1977,2401,903,2604,8596,3507,1672,654,487,1156,1836
2009 赛季,82,3063,6629,,,1778,2210,960,2607,8322,3567,1639,654,481,1227,1743
2008 赛季,82,2999,6716,,,1626,2069,999,2497,7952,3496,1663,608,371,1330,1655
2007 赛季,82,3125,7032,,,1436,1866,971,2688,7999,3659,1748,531,400,1310,1680
2006 赛季,82,3047,6628,,,1511,1911,928,2322,8130,3250,1695,631,301,1268,1801
2005 赛季,82,3077,6711,,,1652,2104,1013,2233,8411,3246,1696,622,306,1208,1933
2004 赛季,82,2882,6498,,,1683,2131,1041,2311,8113,3352,1487,553,338,1113,1944
2003 赛季,82,2939,6590,,,1363,1782,907,2318,7964,3225,1782,661,387,1188,1784
2002 赛季,82,2887,6599,,,1325,1780,963,2385,7555,3348,1775,679,295,1085,1712
2001 赛季,82,3131,6681,,,1263,1672,968,2333,8014,3301,1926,698,364,1124,1732
2000 赛季,82,3029,6649,,,1454,1986,999,2422,7978,3421,1792,657,409,1252,1733
1999 赛季,82,3108,6946,,,1363,1960,1042,2483,8125,3525,1878,657,345,1152,1776
1998 赛季,50,1756,3976,,,922,1354,676,1422,4743,2098,1087,393,201,765,1047
1997 赛季,82,3052,6458,,,1521,2109,931,2225,8246,3156,1986,804,376,1145,1812
1996 赛季,82,2995,6415,,,1725,2295,1010,2271,8274,3281,1931,904,388,1231,1803
