年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,27,1056,2487,380,1133,426,551,354,868,2918,1222,622,238,155,426,609
2020 赛季,72,2932,6546,944,2706,1265,1662,757,2376,8073,3133,1846,632,398,1027,1507
2019 赛季,64,2586,5865,853,2540,1223,1624,675,2193,7248,2868,1525,555,362,981,1370
2018 赛季,82,3413,7483,827,2357,1570,1995,923,2750,9223,3673,2018,683,411,1074,1664
2017 赛季,82,3365,7063,658,1845,1592,1980,848,2593,8980,3441,1861,689,345,1021,1495
2016 赛季,82,3235,6922,601,1723,1586,1986,938,2540,8657,3478,1940,654,370,1150,1646
2015 赛季,82,3095,6668,455,1347,1753,2213,821,2587,8398,3408,1916,656,375,1231,1696
2014 赛季,82,2986,6820,406,1223,1638,2110,949,2406,8016,3355,1771,668,327,1231,1571
2013 赛季,82,3189,7175,600,1757,1790,2301,1024,2644,8768,3668,1963,718,297,1142,1504
2012 赛季,82,2943,6702,450,1475,1515,2042,973,2473,7851,3446,1836,700,387,1214,1509
2011 赛季,66,2355,5434,473,1423,1281,1662,797,2089,6464,2886,1290,436,293,1001,1212
2010 赛季,82,3090,7014,,,1519,1977,1085,2556,8288,3641,1650,592,422,1398,1825
2009 赛季,82,3106,6923,,,1436,1926,962,2556,8051,3518,1626,597,306,1333,1699
2008 赛季,82,2986,6766,,,1504,1957,975,2442,8019,3417,1674,512,322,1165,1785
2007 赛季,82,3076,6817,,,1246,1693,964,2428,7839,3392,1630,616,306,1188,1885
2006 赛季,82,2997,6503,,,1499,1892,819,2474,7877,3293,1848,532,325,1278,1758
2005 赛季,82,2888,6340,,,1436,1895,811,2422,7522,3233,1716,559,471,1189,1889
2004 赛季,82,3045,6629,,,1449,1820,947,2580,7934,3527,1918,460,447,1079,1774
2003 赛季,82,3033,6571,,,1361,1743,875,2645,7753,3520,1890,561,462,1043,1731
2002 赛季,82,3172,6809,,,1406,1826,959,2614,8046,3573,2070,553,433,1124,1704
2001 赛季,82,3175,6887,,,1399,1754,1059,2562,8145,3621,1993,524,427,1097,1739
2000 赛季,82,3148,6871,,,1364,1737,1002,2470,7982,3472,2083,682,456,1136,1900
1999 赛季,82,3226,6910,,,1379,1769,1016,2471,8079,3487,2205,622,444,1139,1913
1998 赛季,50,1838,4327,,,849,1143,754,1392,4647,2146,1218,426,272,641,1185
1997 赛季,82,3157,6844,,,1673,2253,1063,2429,8290,3492,2068,639,427,1138,1882
1996 赛季,82,2937,6436,,,1637,2180,957,2302,7882,3259,1874,618,557,1243,1818
