年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,26,1061,2257,395,1076,407,537,259,961,2924,1220,738,253,121,418,517
2020 赛季,72,2973,6347,1048,2789,1193,1520,574,2524,8187,3098,1991,587,342,1080,1526
2019 赛季,65,2510,5730,678,2032,1214,1511,647,2138,6912,2785,1663,534,299,969,1304
2018 赛季,82,3612,7361,1087,2824,1339,1672,797,2990,9650,3787,2413,625,525,1169,1757
2017 赛季,82,3509,6979,926,2369,1360,1668,691,2877,9304,3568,2402,656,612,1265,1607
2016 赛季,82,3532,7140,982,2562,1457,1850,770,2873,9503,3643,2491,785,555,1211,1585
2015 赛季,82,3489,7159,1077,2592,1366,1790,816,2972,9421,3788,2373,689,498,1245,1701
2014 赛季,82,3410,7137,883,2217,1313,1709,853,2814,9016,3667,2248,762,496,1185,1628
2013 赛季,82,3236,7005,774,2037,1303,1731,896,2819,8549,3715,1912,642,407,1247,1784
2012 赛季,82,3130,6840,658,1632,1378,1744,885,2801,8296,3686,1845,567,346,1236,1753
2011 赛季,66,2489,5443,524,1351,951,1235,640,1947,6453,2587,1470,528,362,915,1410
2010 赛季,82,3251,7047,,,1290,1695,955,2370,8477,3325,1847,737,406,1198,1806
2009 赛季,82,3329,7094,,,1631,2085,753,2397,8922,3150,1839,761,340,1204,1886
2008 赛季,82,3231,7055,,,1893,2392,953,2492,8905,3445,1711,638,527,1201,1842
2007 赛季,82,3403,7406,,,1538,2044,1045,2496,9105,3541,1833,744,377,1082,1875
2006 赛季,82,3261,7048,,,1515,2113,940,2456,8737,3396,1950,750,466,1309,1933
2005 赛季,82,2939,6785,,,1573,2190,980,2485,8076,3465,1694,604,357,1156,1941
2004 赛季,82,3029,7039,,,1412,1955,1069,2436,8094,3505,1811,642,420,1112,1833
2003 赛季,82,2875,6511,,,1470,2028,1002,2533,7649,3535,1681,576,389,1211,1691
2002 赛季,82,3061,6941,,,1853,2382,1284,2546,8400,3830,1712,594,506,1295,1786
2001 赛季,82,2998,6989,,,1693,2344,1334,2493,8009,3827,1706,650,523,1378,1884
2000 赛季,82,2937,7175,,,1428,2024,1345,2385,7584,3730,1788,742,410,1301,1727
1999 赛季,82,2996,7140,,,1497,2147,1300,2438,7834,3738,1851,731,356,1302,2043
1998 赛季,50,1730,4173,,,794,1175,816,1559,4416,2375,1037,414,221,768,1270
1997 赛季,82,2845,6883,,,1358,1912,1288,2473,7237,3761,1708,621,448,1369,1859
1996 赛季,82,2997,6567,,,1696,2180,1086,2259,8171,3345,1822,611,359,1410,1787
