年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2021 赛季,27,1068,2310,272,833,446,573,247,967,2854,1214,635,167,142,376,503
2020 赛季,72,3108,6547,733,2088,1449,1884,697,2557,8398,3254,1835,528,297,1036,1555
2019 赛季,72,2990,6544,864,2345,1394,1770,732,2295,8238,3027,1801,574,309,1020,1634
2018 赛季,82,3456,7387,930,2731,1508,1963,794,2679,9350,3473,2154,683,379,1154,1701
2017 赛季,82,3275,7018,814,2173,1378,1786,823,2713,8742,3536,2065,645,353,1196,1746
2016 赛季,82,3388,7137,756,2030,1421,1812,843,2671,8953,3514,1956,693,336,1162,1745
2015 赛季,82,3238,7033,709,1983,1349,1849,743,2688,8534,3431,2005,708,323,1186,1708
2014 赛季,82,3139,6790,497,1381,1305,1758,862,2801,8080,3663,1969,601,378,1233,1707
2013 赛季,82,3177,6920,647,1704,1253,1715,886,2573,8254,3459,1909,668,377,1204,1675
2012 赛季,82,2910,6693,545,1495,1279,1746,887,2652,7644,3539,1775,598,376,1238,1681
2011 赛季,66,2414,5475,344,1075,1008,1386,775,1975,6180,2750,1262,527,417,1008,1405
2010 赛季,82,3048,6888,,,1489,1999,1013,2374,7977,3387,1592,665,502,1258,1850
2009 赛季,82,3008,6700,,,1444,1895,966,2458,7892,3424,1557,493,421,1219,1752
2008 赛季,82,2994,6655,,,1494,1948,956,2330,7877,3286,1641,619,365,1146,1679
2007 赛季,82,2986,6695,,,1557,1991,1007,2404,8104,3411,1607,632,391,1082,1606
2006 赛季,82,3070,6820,,,1855,2425,998,2379,8556,3377,1660,635,375,1133,1823
2005 赛季,82,2975,6656,,,1889,2496,1035,2344,8336,3379,1523,658,339,1143,1855
2004 赛季,82,2966,6794,,,1795,2476,1133,2374,8241,3507,1563,716,347,1172,1807
2003 赛季,82,2758,6556,,,1579,2211,1115,2392,7528,3507,1537,733,406,1439,1712
2002 赛季,82,2816,6394,,,1617,2077,917,2395,7502,3312,1612,621,390,1095,1644
2001 赛季,82,2938,6664,,,1428,1866,1055,2393,7609,3448,1715,570,354,1068,1763
2000 赛季,82,2833,6453,,,1704,2245,1016,2370,7645,3386,1647,630,383,1391,1913
1999 赛季,82,3010,6681,,,1566,2107,1064,2438,7921,3502,1771,593,383,1320,2149
1998 赛季,50,1768,3969,,,845,1198,595,1403,4560,1998,1064,393,193,736,1151
1997 赛季,82,3080,6811,,,1489,2156,1121,2341,7969,3462,1900,689,379,1156,1839
1996 赛季,82,3208,6678,,,1400,1979,1010,2420,8147,3430,1921,712,402,1289,1815
